aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>8>;14>14>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;16>31>14>;17>30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
41520-6401;1;3;;;;1;;15;;;;1;1;;16;;6;13;;1;1;;;1;1;1;1;1;1;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;4;;2;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;10;1;;;6;4;;;;1;1;3;3;1;1;;1;6;1;5;3;1;;2;2;1;;7;;;3;;1;;;;;;;1;;;;;;;
32035-4114;1;3;;;26;4;5;27;;;5;2;4;;17;1;2;1;;1;6;5;;1;;1;1;;;;1;1;1;;;;;;;9;5;;;2;;1;1;;;;1;;3;3;;;2;1;;;;;;7;;3;2;2;;;;;;2;;;;1;1;;;;1;;;;;2;1;;2;1;;;;1;;;;;;;2;;;;1;2;2;1;1;10;1;2;1;4;2;1;1;1;2;1;2;1;1;;1;;1;;1;;;;1;;;;1;1;;;;;;;;;;;;4;3;;3;4;;
36347-5799;1;3;;2;;3;1;22;;;;2;5;2;30;1;6;5;3;1;2;;1;;;;;;;;;;;1;1;1;;;2;;;2;2;;;;2;;;;;;;;;;2;;1;;;;;9;;3;1;;1;2;2;2;;;;;;;;;;;;;1;1;;;;;1;;;;;;;;;1;1;;2;1;;;;1;;;;7;;;;2;;;;;;;2;2;2;1;;;5;;5;3;2;1;3;1;1;1;5;3;1;3;2;2;2;1;;3;1;1;;;;1;;;;
14932-4114;;;;;;1;2;6;1;1;;3;6;3;2;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;;;;2;;;;;1;1;1;;;;;;;;;;1;1;;1;;;;;;;;1;;;;;;1;;;;;;;;;;1;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
41365-6401;;9;2;1;;3;;24;;;;6;8;;20;1;7;17;4;;2;;;;;;;;;;3;;;;;;;1;1;;;1;1;;;;3;;1;;;;;4;;2;5;;3;2;;;;9;;5;3;2;1;3;3;1;;;;;;;;2;2;;;;;1;1;1;;;5;;2;2;;;;;;;1;1;1;;;;1;2;1;1;;10;;1;;5;2;1;;;;;3;3;;;1;1;7;2;3;3;3;2;4;2;1;2;5;4;2;4;3;4;2;2;2;3;;;;;;1;;;;
44169-6895;1;7;4;1;7;6;1;34;;;;2;9;1;24;;2;;3;1;4;3;;1;1;;;;1;;1;;;;;;1;1;1;1;1;1;1;;;;3;;1;1;1;;;1;1;;2;;;;;;;7;;2;1;1;;;;;;1;;;;;;;;;;;;;;1;;;1;;;;;;;;;;1;;1;;;;;;;;;7;;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;1;2;;1;2;2;2;
35700-5489;3;15;;2;;7;;52;3;2;;22;36;3;50;;10;14;1;4;2;;2;2;2;2;2;2;1;;3;1;2;1;1;1;;;2;;;2;2;;1;;6;3;;;4;1;;2;;1;25;4;12;2;;1;;11;1;2;1;;;1;1;1;;;3;2;1;8;5;6;2;1;2;1;1;3;2;7;;1;18;7;4;1;1;1;1;1;1;1;3;;1;1;1;;2;;2;;2;15;1;;;7;4;3;1;1;;;1;1;1;;;;9;;7;2;2;1;2;;;;10;2;;3;;3;;2;2;1;2;2;2;;;2;;;;
12626-7114;1;4;;;;2;3;11;1;;;;2;3;13;;1;;;1;9;;1;;;;;;;;1;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;2;;;
30969-5799;;;;;;;;9;;;;;;;6;;2;6;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;3;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;1;;;;;;;;;;;;;5;;;;;;
31743-5061;3;15;;6;38;5;;17;1;;;4;6;;21;;3;3;;3;3;1;1;3;3;1;1;1;;;;;2;1;1;1;;;3;20;10;3;;;;;3;;;;;;;;;;1;;1;;;;;3;;2;;;;;;;;;1;;;;;1;1;;;;;1;;1;;;3;;;;;;;2;;;1;;;;;;1;1;3;;2;9;;2;1;;;;;;;;1;1;1;;;;3;;1;;;;;;;;1;;;;;;;;;;1;1;3;;;;2;;;
36672-5489;;1;;;;;;5;;;1;1;1;;2;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;2;;1;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;
28198-5490;1;4;2;1;;2;;22;;;;3;5;;14;;6;10;;1;;;;1;1;1;1;1;;;;;1;;;;;1;1;;;;;;;;2;;2;;1;;;;;;1;;;;;;;8;;3;1;1;;3;3;;;;;;;;;3;1;1;;;;;;;;;3;;3;1;1;;;;;;;;;;;;;1;1;;1;8;;;;3;1;;;;1;;1;;;;;1;5;;1;;;;3;2;1;1;4;2;1;2;2;2;2;1;;;;;1;;;;;;;
36350-5799;;2;;;2;3;;16;;;1;2;6;;22;;1;1;;;4;;;;;;;;;;1;1;;;;;;;;;;;;1;;;1;1;;;1;;;1;1;1;4;2;2;;;;;6;;3;1;1;1;1;1;1;;;;;;;;;;;1;;;;;4;3;3;2;;;;;1;;;;;;;1;;;;1;;2;1;;5;1;1;;2;1;1;1;1;;;1;1;;;;;1;1;1;;;;1;;;1;1;;;;;;;;;;;;;;1;;;;;
23182-6895;;;;1;;2;;10;;;;;3;;6;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;1;;;;;;1;1;;;;;2;;;;1;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35751-5799;;;;1;;1;;18;;1;;7;7;;21;;3;2;;;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;6;;6;1;;;;5;;2;;;;1;1;1;;;;;;3;1;1;;;2;2;;;;;;;7;3;1;;;2;2;;;;1;;;;;;;;;;;3;;;;;;;;;;;1;1;1;;;;2;;2;;;;2;2;;;2;2;2;;;;;;;;;;;1;;;;;;
40168-6402;3;8;;1;;2;2;31;2;;;6;11;;43;2;6;4;1;3;1;;1;2;2;;;;1;;2;1;1;;;;;;1;;;1;1;;1;1;1;;;;;;2;1;;;4;;2;1;1;;;9;;3;1;1;;1;1;1;;;;;;1;;4;2;2;;;;2;;1;;;5;;3;2;2;;;1;1;;1;;;;;;1;1;4;1;1;15;;2;1;3;3;1;;;;;1;1;1;1;;;4;1;4;2;2;;3;1;1;1;4;2;1;2;1;2;1;;;1;1;1;2;;;1;;;;
42261-6402;;1;;3;21;6;;47;2;2;;16;26;;33;;7;9;;;1;2;;;;;;;;;;;;;;;;;3;10;5;3;3;2;;;;;;;2;1;;;;;15;;9;5;2;;;9;;3;1;1;;1;1;1;;1;2;1;2;4;3;8;4;1;2;1;;;;2;;;15;2;8;4;1;;;3;2;;2;;1;;;;;1;3;;;9;;1;;3;1;1;;;1;1;2;1;;;1;2;4;1;2;1;1;1;2;;;1;3;;;1;;1;;1;1;;;;;;;;;;2;
31755-7114;;1;;3;;2;;13;;;1;2;4;;18;;4;6;;;1;1;;;;;;;1;;1;;;;;;;;3;;;2;2;;;;;;;;1;;;1;;;2;;1;;;;;4;;;;;;1;1;1;;;;;;;;1;;;;;;;1;;;;2;;1;;;;;1;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;4;1;3;3;1;1;4;4;;;3;2;2;3;2;1;;1;;;;;;;1;;;;;
31836-6401;1;19;6;5;;5;2;52;;;1;31;29;4;30;;2;6;1;1;5;;;1;1;;;;1;2;4;;1;;;;2;3;5;;;5;5;;;1;11;4;3;1;3;3;;7;2;1;17;1;14;4;1;1;1;14;;5;2;1;;1;1;1;1;;;;;8;1;7;1;1;11;11;2;;3;2;;;26;6;5;1;1;9;9;3;3;1;1;1;;1;3;2;3;3;1;;1;7;2;;;2;1;;;;;;;;;;;;1;1;1;;;;1;;;1;1;;;;;;;;;1;;;1;1;1;;;;;
36259-6590;1;6;2;;;;;11;1;;;1;3;1;4;;;;;1;;;1;;;;;;1;1;1;1;;1;1;1;2;;;;;;;;;;1;;;;;;;1;;;1;;;;;;;4;;1;1;1;;;;;;;1;;;;;1;;;;;;;;1;;1;1;;1;;;;;;;1;;;;;1;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
41520-6895;1;3;1;;;;;10;;;;;;;3;;;;;1;;;1;;;;;;;1;3;2;;1;1;1;1;;;;;;;;;;3;2;;;;;;1;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
36066-6030;;;;;5;2;;9;1;;;;2;1;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;5;;2;2;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;4;;;;3;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36400-5490;1;3;;;;;;10;;;;;;;14;;2;1;;1;;;;1;1;1;1;1;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;3;;;;1;;;;;;;2;1;1;;1;;1;;1;;;;1;1;1;;1;1;1;;;;;;;;;;1;;;;;;;
14770-5489;1;3;1;;;;;9;;;;2;4;;11;;1;2;;1;;;1;;;;;;1;1;2;1;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;1;1;;;;;;;;;;1;1;;1;;;;1;;;;;;;;;;;;;1;;1;1;1;;1;;;;2;1;;2;1;1;;;;;1;1;;;;;;;;
31488-4917;;1;;;;;;10;;;;2;2;;9;;3;7;1;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;5;;3;1;1;;1;;;;;;;;1;1;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;1;;;;5;;;;2;1;;;;;;;;;;1;;2;;2;2;2;;;;;;3;;;2;;2;;;;;;;;;;;;;;
36099-5061;1;7;;1;;2;;33;1;;;5;8;1;20;;4;6;1;1;2;;1;;;;;;2;;1;;2;1;1;1;;;1;;;1;1;;;;2;;;;1;1;;;;;3;;1;1;;;;3;;1;;;;1;1;1;;;1;;;;;3;1;;;;;1;;;;;5;;3;1;;;;;;;;;1;1;;;1;;1;;1;7;1;1;1;1;1;;;;1;1;2;1;;;;;3;;1;1;1;;1;;;1;2;1;;2;1;1;1;;;1;1;1;;;;;1;;;
31256-5061;;7;;;;;;19;;;;;1;;11;1;3;2;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;4;2;;;;;;;;;1;;;;;;;8;;3;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;5;1;;;2;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32892-5490;1;1;;;;1;;15;8;3;;25;26;;24;;6;8;;1;2;;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;;1;;;;;4;1;;;;;;;;;;7;;3;;;12;1;;2;1;;2;;1;;1;13;;6;1;;2;1;1;;;1;1;2;;;;;;3;;1;1;;1;;;;;;;;;;;;;1;;3;;;;;;;;;;2;;;;;;;;;;;;1;;;2;;;;
39095-5384;1;9;;;;;;34;;;;4;7;;16;;6;7;;1;1;;;1;;1;1;;;;5;1;;;;;;;;;;;;;;;6;4;;;;;;1;;;4;;3;;;;;11;1;1;;;;1;1;;;;;;;3;1;1;1;;3;2;;;;3;;;4;2;1;1;;3;2;;;;;;;;;;;;2;;2;5;;1;1;2;1;1;;;2;1;4;3;1;;1;;5;1;2;;;;3;2;;;2;1;1;;;;;;;;;;;;;;;;;
23668-5490;1;2;;;;;;12;;1;;6;4;1;11;;4;7;;1;;;;1;1;1;1;1;;;1;;;;;;;;;;;;;;;;1;1;;;;;;1;;1;;;;;;;;7;;1;1;1;2;;;;;;;;1;1;1;2;1;;1;;;;;1;;1;2;;1;1;;;;;;1;;;;;1;;;;;;;1;;;;1;1;1;1;;1;1;2;2;1;1;;1;3;;1;1;;;1;1;1;;3;1;1;3;1;2;;;;;;;1;;;;;;;
35698-6030;;1;;;2;4;;12;1;;;4;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;2;;2;2;;;;;;;;;;;;;;;1;;;1;;3;1;1;2;;;;;;;;2;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40390-6401;;1;;;;;;9;;;;2;2;;4;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;;;2;;2;;;;;;;;;;;;;;2;1;1;;;;;1;;;;2;;2;1;1;;;1;1;;1;;;;;;;;2;;1;3;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31437-6590;1;2;;;;;;4;;;;4;3;;3;;1;1;;1;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;2;;;;;;;1;;;1;;;;1;;;;;;;;;;;;;;;;;;;3;1;1;;;;;;;;;3;;2;1;1;;;1;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1;;1;;;;;;;;1;;;;;;;;;;;;1;;;;;;;
44845-7114;;2;;1;;1;;15;1;;;2;9;;9;;;;;;1;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;5;3;;;1;;;4;1;2;1;;;;;;;;1;1;;;;;;;1;;;;;6;;2;2;;;;;1;;1;;;;;1;;;;;;1;1;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44090-6402;1;4;1;1;30;5;1;66;2;3;;27;41;9;40;3;9;8;2;1;2;;1;;;;;;;1;3;1;;1;1;1;1;;1;16;8;1;1;;;1;2;;;;4;1;;6;1;3;27;1;19;5;;2;2;19;;10;5;3;;1;;;;;2;1;3;5;1;11;2;2;3;2;6;1;;7;2;2;24;2;8;2;2;2;2;2;;1;;;1;;8;4;;1;1;1;;23;;;;12;6;1;1;1;4;4;4;4;4;;1;1;7;;7;1;1;;3;2;;;8;3;2;1;1;1;1;;;2;1;1;;;;1;;;;
44109-6402;;;;;2;4;4;18;1;;;3;8;1;18;;2;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;4;;;;;;;3;1;;1;3;1;1;;;;;12;;1;;;;;;;;;1;1;;;;1;;;1;;1;;;4;;2;3;;1;;;1;;1;1;1;;;;;1;1;;;3;1;;5;;1;;;;;;;;;1;1;;;;;2;2;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;
40918-6402;1;11;2;;;2;;57;2;1;;14;15;1;59;;16;38;;1;5;2;;1;;;;;1;;1;;;;;;2;;;;;;;;1;;3;;;;;;;2;1;1;5;;4;2;1;;;21;1;2;1;;;7;5;;;1;1;;1;6;1;5;3;1;1;1;;;4;1;;1;12;4;4;3;1;;;2;2;;;;;;1;1;1;4;2;;1;8;;1;;3;;;;;;;1;1;;;;1;12;;;;;;5;2;;2;4;1;;2;1;;;;;;;;;1;;2;;;1;
44033-6402;2;5;;1;30;6;2;29;1;;4;7;9;;29;1;3;2;;2;5;1;1;2;1;;;;;;;;;1;1;1;;;1;3;;1;1;1;;1;;;;;6;;;2;;;6;;2;;;;;11;2;5;2;1;;;;;;;1;1;;4;;;;;;;;;;2;;1;4;2;;;;;;;;;;;5;;;;;1;2;1;1;10;;;;3;1;1;;;1;;1;;;;1;;1;;1;1;;;2;1;1;;1;1;;1;1;;;;;;1;1;1;1;4;;;1;;
16014-6590;;;;;;;;2;;;;;;;2;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;1;;;;2;;;1;;1;;;;;;;;;;;;;;
31601-6401;3;17;;;26;4;2;66;1;;;43;37;;41;;9;8;;3;5;;2;1;1;;;;1;;3;;;;;;;;;10;3;;;1;;1;9;2;;;2;;1;4;1;;15;1;9;3;5;;;15;1;2;;;1;2;2;2;1;;;;;5;;13;5;1;9;5;;2;;5;1;2;28;2;12;5;1;5;3;7;4;;1;;;;;;;;5;1;4;5;;2;2;;;;;;;;1;1;1;1;3;;7;1;6;3;2;1;3;1;1;1;6;2;1;3;1;2;;1;;;2;2;1;;;;4;;;
22135-4114;1;5;1;1;2;2;2;13;1;;;1;4;1;14;;1;1;;1;4;2;;1;;;;;;;1;;;;;;1;;;1;1;1;;1;;1;1;;1;1;;;1;2;;;1;1;;;;;;3;;1;;;;1;1;;1;;1;;;;;;;;;;;;1;2;;;;;;;;;;2;;1;1;1;;;1;;1;;1;;;5;1;;;1;;;;;;;;;;;;;1;1;1;1;1;;1;1;1;1;1;1;;1;1;1;1;;;;;;;;;1;1;1;2;
44153-6895;1;2;;;;2;;14;;;1;;1;;22;;2;2;;1;3;;1;;;;;;;;;;;1;1;;;;;;;;;;;;1;;;;1;;;1;;;;;;;;;;7;;4;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;11;;1;;5;3;2;2;1;1;1;1;1;1;1;;;2;;2;2;2;2;;;;;2;;;2;;2;;2;1;;1;1;;;1;;;;;
28177-4114;1;2;1;1;16;3;;14;;;1;4;6;1;14;;1;;;1;2;2;;1;1;1;1;1;1;;1;1;;;;;;;;4;2;1;;1;;;;;;;1;;;2;;2;1;;1;;;1;;5;;1;;;1;;;;;;;;;2;1;;;;;;;;;;;;2;1;;;;;;1;;;1;;1;;1;1;;;2;;;2;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;1;
36615-6895;;4;;;;;;19;;;;2;7;;14;;4;3;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;2;;;;;;;2;;1;4;1;;;;;;7;1;4;1;1;;;;;;;;;;;;;;;1;;;;;2;;;2;;;;;1;;1;;;1;;;;;;1;;1;;1;6;1;;;2;2;1;1;;1;1;3;3;3;2;;1;3;;3;2;1;1;3;2;1;;3;3;2;2;2;1;1;1;;;;;;;;;;;;
41124-6401;;2;2;;;;;6;;;;1;1;;3;;2;2;1;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;2;1;;;;1;;;1;;1;1;;;;2;;1;;;;;;;;;;;;;;1;;;;;;1;;;;;1;;1;;;;;;;;;;;;;;1;;;;;2;1;;;;;;;;1;1;1;1;1;1;;;2;;2;2;1;;2;1;;;2;2;1;2;2;1;1;;;1;;;;;;;;;;
