aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>8>;14>14>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;16>31>14>;17>30>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>32>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
31444-5061;1;9;;;9;2;;42;6;;;5;12;;26;;15;19;;2;;;1;;;;;;3;;1;;;1;1;1;;;;2;;;;1;;;4;;;;;;;1;;;5;;2;1;;;;11;1;3;;;1;3;3;;;;6;6;;;;3;3;3;;;;2;;6;2;1;5;;3;3;3;;;;;;1;1;;;;;1;1;1;;1;10;;;;2;;;;;1;1;3;3;2;2;;;15;;8;3;;;8;5;2;2;13;8;5;4;4;1;1;1;;;1;1;;;;;;;;
39722-6401;;4;1;;;1;;18;;;;3;5;;17;;11;11;1;;;;;;;;;;;;;;2;;;;1;;;;;;;;;;3;;;;;;;;;;1;;1;1;;;;8;;6;4;4;1;2;1;1;;;;;;;;2;;;;;;;;;;;3;;2;;;;;;;;1;;;;;;1;1;3;;1;12;1;3;1;8;8;5;2;;2;2;6;5;5;5;2;;8;;8;6;6;3;4;2;1;1;11;4;2;8;4;7;4;3;3;;;;;;;;;;;
30705-5489;1;2;;;4;2;;11;;;;1;2;;8;;;;;1;;;;1;1;1;1;1;;;;;;;;;;;;;;;;1;;;1;;;;1;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
31469-6030;;9;;7;3;7;;28;1;;;21;20;;21;;8;15;;;;2;;;;;;;1;;1;;;;;;;;7;;;6;6;;;;4;1;;;3;2;;;;;5;;3;1;2;;;7;2;3;2;1;;2;1;;;1;1;1;;1;;9;7;4;1;1;;4;;3;1;2;17;;7;5;2;1;1;3;3;;1;;;;;;;;5;1;4;8;;3;3;5;3;1;1;1;1;;1;;;;;1;5;;2;;;;3;1;;1;7;2;;3;2;1;1;1;1;;;;;;;;;;2;
35410-6895;;;;;2;1;;29;1;;;2;11;;16;;2;2;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;2;;;;;;;6;2;2;2;1;;;;;;;1;1;;;;1;1;;;;;1;;1;;;2;;1;1;;;;1;;;2;;;;;;;1;2;;2;5;;;;3;2;2;2;1;1;1;2;2;1;1;;;2;;1;1;;;;;;;1;;;1;;;;;;;;;;;;;;;;
41425-6402;2;6;1;;;;1;29;1;;;8;11;1;39;;10;21;3;2;2;;1;1;1;;;;;;;;;;;;;1;;;;;;;;;2;;;;;;;;;;5;;1;;;1;1;13;;3;;;1;1;1;;;;1;;;3;2;2;;;4;3;;;;;;;8;3;1;;;3;2;;;;1;;2;;1;1;;;;;;14;;;;3;2;2;1;;2;2;5;5;2;2;;1;9;2;4;3;;;5;2;1;1;8;2;;5;1;1;;;;3;1;1;1;;;1;;;;
35962-5384;2;10;1;;;;;24;;;;;3;1;12;;1;1;;2;;;1;1;;1;1;;;;2;;;1;1;1;1;;;;;;;;;;8;1;1;1;;;;3;;2;2;2;;;;1;;9;;1;;;1;;;;;;;;;;;;;;;;;;;3;1;1;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
21513-5384;1;8;;;;;;12;;;;;1;;8;;3;5;1;1;;;1;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;4;1;1;1;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;;1;;;1;;;;1;;;;;;;;;;;;1;2;;2;1;1;;3;1;1;;3;3;1;2;1;2;1;1;;1;1;1;;;;;;;;
31810-4917;1;2;4;;;;;5;;;;;;;4;;;;;1;;;;1;;1;1;;;;;;1;;;;2;;;;;;;;;;;;2;1;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36278-5490;1;3;;;;1;;26;;;;13;9;;32;;3;5;;1;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;;2;;;;;12;;5;3;2;;;;;;;;;;1;1;6;4;2;1;;;1;;3;;2;7;;3;1;;;;;;;;;;;;;2;;;;;11;;;;6;3;2;2;2;;;;;;;1;;2;;1;1;1;;1;;;;4;1;;4;1;3;1;;;;;;1;;;;;;;
25326-4114;;3;;;;2;;13;;;2;1;3;1;11;;1;1;1;;3;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;1;1;4;;3;1;;1;;;;1;1;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;2;;1;1;;;1;;;6;;1;;3;1;;;;;;1;1;1;1;;;1;;1;1;1;1;;;;;1;;;1;;1;;1;1;1;;;;3;2;;1;1;;
35936-6400;;;;;;;;4;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36057-5384;1;4;;;;1;;15;1;;;3;5;;14;;2;2;;1;2;;;1;1;1;1;1;;;1;;;;;;;;;;;;;;;;2;1;;;1;;;1;;1;2;;1;;1;;;6;;;;;1;1;;;;;1;1;;2;;2;;;;;;;;1;;;3;1;2;;;;;1;1;;;;;;;;2;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;;
28386-5061;;5;1;;;;;10;;;;1;2;;3;;1;1;;;;;;;;;;;;1;2;;1;;;;1;;;;;;;;;;4;1;;;;;;;;;1;;1;;;;;3;;;;;1;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;1;;1;1;;;1;;1;;1;1;;;1;1;;;1;1;1;1;1;;;;;;;;;;;;;;;
33680-5799;;2;1;7;;5;;19;;;;2;2;;8;;2;;;;;;;;;;;;;;1;1;1;;;;1;;4;;;4;4;;;;1;;1;1;3;3;;1;;;1;;;;;;;3;;;;;;;;;;;;;;1;;;;;1;1;;;;;;;1;1;;;;;;;;;;;;;;;;1;;;;3;;;;2;1;1;1;1;1;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28062-7114;1;8;;;;1;;17;;;;;1;;14;;;;;1;;;;1;1;1;1;1;;;2;;;;;;;;;;;;;;;;7;2;;;;;;2;;1;;;;;;;;4;;3;2;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;;;;7;2;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
40989-7114;;1;;;;;;6;;;;;;;4;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;3;;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;3;1;;;2;1;;;;1;1;2;1;1;;;1;1;;1;;;;1;1;1;;1;1;1;;;;;;;;;;;;;;;;;
36589-6400;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21283-7297;1;7;;;;;;18;;;;2;3;;22;;1;5;;1;;;;1;1;1;1;1;;;4;1;2;;;;;;;;;;;;;;4;2;;;;;;;;;2;;1;1;;;;8;;;;;;;;;;;;;;;;1;1;;;;;1;;;;;2;;1;1;;;;;;;1;;;;;;3;;1;;1;5;2;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;1;;1;;;;;;;1;;;;;;;
39977-6401;1;14;2;1;;2;;46;;2;;30;23;;41;1;6;5;1;1;4;4;1;;;;;;;;2;2;1;;;;;;1;;;1;1;;;;5;1;1;;1;;;;;;7;1;4;2;1;;;15;2;8;3;2;;;;;;1;;;2;7;1;15;7;4;;;;;1;4;1;3;15;1;9;3;2;;;3;2;;5;2;1;;;;2;;8;2;5;16;2;3;3;7;4;4;2;2;;;2;2;1;1;;1;5;;4;3;2;1;2;1;;;4;2;1;3;2;2;1;1;1;1;1;1;;;;1;1;2;3;
36259-5490;1;2;;3;;3;1;25;;;;5;6;;42;;8;7;;1;;;;;;;;;;;1;;;;;;;;2;;;2;2;;1;;1;;;;2;1;;2;;1;2;;1;;;;;10;;1;;;;1;1;;;;;;;2;;1;;;;;;;;;;;4;2;1;;;;;;;;1;;;;;;;1;;;;5;;;;2;1;1;;;1;1;5;4;1;1;;1;5;1;1;1;1;;3;2;;;1;1;1;1;1;1;1;;;;1;;;;;;;;;
36545-5384;3;9;;;;;;15;;;;2;3;;12;;5;9;;3;2;;1;2;2;1;1;1;4;;;;;1;1;1;;;;;;;;;;;6;;;;;;;;;;1;;;;;;;1;;;;;1;1;1;1;;;;;;;;1;;;;;;1;;;;;2;;1;;;;;1;1;;;;;;;;;;;;;2;;;;2;1;1;;;;;3;3;1;;;2;3;;1;1;1;;1;;;1;1;1;;1;1;1;1;;;;1;1;2;1;;;;;;
36244-5490;1;5;3;2;24;5;1;42;2;3;12;16;14;2;32;;3;2;1;1;24;17;1;;;;;;;;1;;3;1;1;1;1;;1;7;4;1;1;1;;1;3;;1;;2;1;;;;;;;;;;1;1;7;1;3;2;;;;;;;15;2;1;3;;;1;1;;;;;;3;1;;;5;;;;;;;2;;;;;4;;2;1;1;;1;;1;7;1;;;3;1;;;;1;;1;;;;;1;2;;1;;;;;;;;1;;;;;;;;;;1;1;;;9;;2;16;11;
36145-5384;;5;3;;12;3;;17;;;;2;1;;7;;4;6;;;1;;;;;;;;;1;;;;;;;1;2;;3;3;;;;1;;5;;;;3;;;;;;;;;;;;;5;;4;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;5;;1;;3;1;;;;1;1;1;1;1;;1;;2;;2;;;;1;1;1;;4;1;1;;;;;;;;;;;;;1;;;;
35410-4917;;5;1;1;2;4;1;33;;;1;2;6;;14;;2;2;;;4;3;;;;;;;1;1;1;;2;;;;1;;1;1;;1;1;;;1;2;;;;2;1;;1;;1;;;;;;;;8;1;3;1;;;;;;1;1;;;;;;1;;;1;;;;;;;;1;;;;;1;;;;;2;1;1;;;;2;1;2;;1;7;1;1;;2;1;;;;1;1;1;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;1;
27820-5061;1;8;;;15;2;;25;2;1;;5;8;;31;;6;6;;1;1;;;1;1;1;1;1;1;;1;;;;;;;;;12;8;;;;1;;4;;;;1;;;;;;2;;2;;;;;8;;4;;;;1;;;;;1;;1;2;;1;1;;;;;;;;;;3;1;1;1;;;;1;;;3;1;1;;;;2;;;;;10;;;;3;1;1;;;3;2;3;2;1;;;2;4;;3;1;1;;3;1;;1;4;3;1;2;2;2;2;;;;;;1;;;1;;;;
28027-4114;1;2;;;;1;;8;;;;1;2;;7;;1;1;;1;1;;1;;;;;;1;;;;;1;1;1;;;;;;;;;;;1;;;;;;;;;;1;;;;1;;;4;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;;1;;1;;;2;;1;;1;1;;;;;;;;;;;;1;1;;;;;1;1;1;;;;;;;;;;;;1;1;;1;;;;;;
31570-4114;1;7;1;2;;2;1;28;1;;;9;9;1;37;2;6;8;1;1;1;;1;;;;;;;;1;;1;;;;;;1;;;2;1;;;1;1;;;;;;;;;;4;;2;1;1;;;11;;4;2;1;;1;;;;;1;1;;;;5;2;1;1;1;;1;1;1;;1;8;;4;2;1;1;1;1;1;;;;;;1;1;;1;3;1;2;12;;2;1;7;5;1;1;1;1;1;2;1;;;;2;3;1;1;;;;3;;;;3;1;;1;1;;;;;1;1;1;;;;1;;;;
21629-5061;1;15;;4;1;5;;33;;;;21;21;;23;;6;5;;1;2;1;;1;;;;;1;;1;;;;;;;;4;;;4;4;1;;;9;;;;1;1;;3;;;7;;4;2;1;;;3;;;;;;1;;;;1;;;;2;;10;3;3;4;4;;5;1;;;;16;;8;2;2;2;2;2;1;;2;;;;;;;;4;;3;8;;3;2;2;1;1;;;;;1;1;1;1;;;4;;3;3;2;2;1;1;;;3;1;1;3;1;2;1;2;2;;;;;;;;1;1;1;
22271-4917;;1;;;;;;13;;;;;1;;10;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;8;1;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;3;;;;2;1;;;;1;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31456-4917;;3;;2;4;2;;20;;;;2;3;;19;;6;5;;;1;;;;;;;;;;1;1;;;;;;;1;2;1;1;1;;;;1;;;;1;;;2;;1;;;;;;;;10;2;2;1;1;;1;;;;;;;;1;;1;;;;;;;;;;;1;;1;;;;;;;;1;1;1;;;;;1;2;;1;5;;;;3;2;;;;;;;;;;1;;3;;3;1;1;1;1;;;1;4;1;;2;1;2;1;1;1;;;;;;;1;;;;
39948-6400;;;;;;;;7;;;;1;1;;6;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
35698-7297;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39905-6400;;3;;1;;1;;9;1;;;2;2;;10;;4;4;1;;1;;;;;;;;;;;;1;;;;;;1;;;1;1;;;;;;;;1;1;;;;;1;;1;1;;;;5;;3;1;;1;1;;;;;1;;;;;1;1;;1;;;;;;;;1;;1;1;;;;;;;;;1;;;;;;;;;4;;;;2;1;1;1;1;2;2;3;3;3;3;;1;4;;3;3;2;1;1;1;1;;3;1;1;3;;2;;1;1;1;;;;;;1;;;;
35950-5799;1;2;;;;;;18;;;;1;2;;11;;1;;;1;;;1;;;;;;;;;;1;1;1;1;;;;;;;;;;;1;;;;;;;1;;;1;;;;;;;4;;3;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;3;;1;1;1;;;;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
40838-7114;1;10;;;;1;;13;;1;;6;7;1;11;;1;1;;1;1;;1;;;;;;;;;;3;;;;;;;;;;;;;;3;;;;;;;;;;1;;1;1;;;;3;;1;;;;;;;;;;;1;2;1;4;;;;;;1;1;;;;4;;4;;;;;1;1;1;1;;1;;1;;3;;2;;1;4;2;1;1;1;1;;;;1;1;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;
23182-6030;1;1;;;;;;5;;;;;;;7;;1;4;;1;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
32035-7114;1;6;7;1;1;3;1;15;1;;;1;3;;8;;1;1;;1;;;;;;;;;1;;1;;;;;;3;2;1;1;;1;1;1;;1;;;5;3;2;;;4;1;1;2;;1;;;;;3;;2;1;;;;;;;;1;1;;1;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;2;;;;;3;1;;;1;;;;;1;1;1;1;;;;;1;1;;;;;1;1;1;;;;;;;;;;;;1;;;;;;;;;
35754-6895;2;4;;;;;;19;;;;;2;;16;;3;5;;2;;;;2;2;2;2;2;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;1;;;;;;;5;;;;;;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;
40324-6401;1;13;1;4;;5;;51;2;;1;24;28;;37;;11;29;4;1;5;3;;1;;;;;1;;;;1;;;;;;3;;;4;3;;;;4;;;;2;1;;1;;;6;;4;1;;;;14;1;4;2;;1;3;3;1;;1;2;;;;;11;3;;1;;;1;;2;;;13;;7;3;;;;1;;;5;1;;;;;;;3;;;8;;;;3;;;;;2;2;3;3;1;;;;10;1;3;2;1;;3;1;1;2;9;2;1;6;1;2;1;;;2;;;;1;1;;1;3;2;
44033-6590;1;3;;1;3;4;;45;1;3;2;8;13;1;18;;1;1;;1;3;;;1;1;1;1;1;;;;;;;;;;;1;2;;1;1;;1;;2;;;;3;1;;19;10;8;9;3;6;;1;;;17;4;7;2;1;;;;;;;1;1;2;5;;;;;3;3;;;;4;2;1;7;3;;;;3;3;1;1;1;;;2;;1;;1;4;5;2;1;7;;;;2;1;;;;;;;;;;;;1;1;;;;;1;1;1;;;;;;;;;;;;;;1;;2;;1;;;
31806-4114;1;8;2;1;3;4;3;26;1;;3;2;3;3;23;;;;;1;4;2;;1;1;1;1;1;;;2;;1;;;;;2;1;;;;;1;;3;2;1;2;;1;;3;2;2;1;;;;;;2;1;7;;2;;;;;;;;;1;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;2;1;2;;1;;;;;5;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;3;;;;1;
39065-5384;1;5;2;;1;3;;8;;;1;3;4;2;8;;1;;;1;2;1;;1;1;1;1;1;3;1;1;;;;;;1;;;1;;;;1;;;2;;1;;;;;1;;1;1;;1;1;;;;2;;1;1;;;;;;;;;;;;;2;1;1;;;2;;1;;;;2;;2;1;1;;;;;;1;;1;1;;;1;1;1;;1;3;;1;1;3;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;1;;
41138-6030;;8;;5;;5;1;20;;;;4;4;;15;;7;14;;;;;;;;;;;;;1;;1;;;;;;4;;;4;3;;;;4;;;;2;2;1;2;;1;;;;;;;;6;;3;2;2;2;;;;;;;;;;;1;;;1;;;;;1;;;2;;1;;;;;1;1;;;;;;;;;;;;;9;;;;6;4;2;1;;2;;6;3;2;1;;3;4;;3;2;;;1;;;;5;;;2;;;;;;;;;;;;;;;;
31165-4448;1;10;1;;9;1;1;27;;;;3;4;2;20;;10;20;1;1;;;;1;1;1;1;1;1;;2;;;;;;1;;;4;2;;;1;;1;6;;;;;;1;2;;1;2;;1;;;2;;9;;4;;;1;1;;;;;;;;1;;1;;;1;;;;;;;;3;1;1;;;1;;1;1;;2;1;;1;;;1;;1;;;6;1;1;;1;;;;;2;1;4;3;2;2;;;8;1;4;3;2;1;1;1;1;;4;;;3;;2;;1;1;1;;;1;;;;;;;
36131-5489;;5;2;;;1;;37;1;;;9;14;2;42;;7;6;2;;;;;;;;;;;1;1;1;1;;;;1;2;;;;;;;1;;2;1;1;;1;;;3;;2;1;;1;;;1;1;13;1;7;1;;1;2;1;1;;;1;;;1;;;;;2;2;;;;3;;;9;1;;;;2;2;;;;;;;1;1;1;2;3;3;;1;14;;1;;5;3;3;2;2;1;1;2;2;1;;1;;5;;4;2;;;1;;;;5;1;;3;1;1;;1;;2;;;;;;;;;;
40066-6401;;4;;2;3;2;;11;;;;1;1;;14;;6;4;;;1;;;;;;;;;;;;3;;;;;;1;;;2;1;;;;1;;;;1;1;;;;;;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;1;1;;;;;1;;1;;1;7;1;;;1;1;;;;3;;4;;;;;1;2;;2;1;1;;;;;;3;;;1;;1;;;;;;;;;;1;;;;
41593-6400;;2;1;;;;;12;;;;4;5;2;17;;3;3;1;;;2;;;;;;;;;1;1;;;;;1;;;;;;;;;;1;;1;1;;;;1;;;3;;2;1;1;;;4;;1;;;;1;1;1;;1;;;;1;;2;2;2;;;2;;;2;1;1;4;;2;2;2;;;1;;;2;1;;1;1;;;;1;;1;6;;;;2;2;;;;;;;;;;;;3;1;3;2;1;1;3;1;1;;3;3;1;2;2;1;1;1;1;1;;;;;;;;;1;
44112-7114;1;8;1;7;2;7;;33;;;1;;3;1;16;;1;1;;1;3;;1;1;1;1;1;1;3;;5;1;;1;1;1;;;6;;;6;5;;1;;4;2;1;;5;5;;3;;2;2;1;;;;;;9;;1;;;;;;;2;;;;;;;;;;;;;;;2;1;1;;;;;;;;1;;;1;;;1;;;;1;;;;2;;;;;;;;;;;;;;;;;1;;1;;;;1;;;;1;1;;;;;;;;;1;1;1;1;1;;;;;
38165-5384;;1;1;;;1;;5;;;;1;1;;1;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;1;1;1;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;
27455-6030;;3;2;;;;;5;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;;2;2;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27455-5061;1;6;3;1;;1;;15;1;;;4;5;;3;;1;;;1;1;1;;1;1;1;1;1;;;4;1;;;;;2;;1;;;1;1;;;;4;3;2;2;;;;1;;;4;1;3;;;;;3;;1;;;;;;;;1;1;1;;2;1;;;;;;;;1;2;;;3;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;
