aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>14>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>41>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;16>31>;17>30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
30996-4435;1;4;;3;13;6;;16;1;;;7;11;;19;7;10;;1;1;1;;1;1;;;;;;;;;;;2;6;;;3;2;;1;1;;;1;1;1;;;5;;2;;;;;;1;1;;2;;2;;;;;;;;;;;1;;;;;;3;;1;1;;;;;;;2;;1;;;5;;;2;;;;;;;1;;2;;;;;;;1;;10;1;1;;;;;1;1;1;1;;;6;;4;2;;;2;1;;;4;1;1;2;1;;;;;;;1;;;;;;;
31746-4434;1;9;;;;;;29;1;;;3;5;;48;6;11;;1;;;1;;;;;;;6;;;;;;;;;;;;;;3;3;;;;;5;2;1;;1;1;;;;;;;;14;;3;1;;;3;3;1;;;;;1;;3;1;;;;;;;;;;;;;;;2;;2;2;2;1;;;;;;;;1;1;;;;;;2;;;;7;;2;;;;;;;;;;;5;2;2;;;;2;2;1;1;3;;;;;;;;;1;1;;;;;;;;
35950-6590;1;4;;;;;;29;1;1;;4;5;;10;2;7;;1;;;;1;1;1;1;1;;;1;;;;;;;;;;;;;2;;;;;;1;1;1;;;;;;;;;;;2;;2;1;1;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;5;;3;;1;1;1;;;1;1;1;;1;;1;1;1;1;1;;;;1;1;;1;1;1;1;1;;;;1;;;;;;;
41365-7297;1;4;;;;1;;13;;;;4;4;;5;2;4;;1;;;1;;;;;;1;;;;;;;;;;;;;;;1;;;1;;;1;;;;;;;;;;;;;3;;;;;1;1;;;;;;;;;2;;;1;2;1;;;;;;;;;;;;;;4;1;;2;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;;;1;;;1;1;;1;;;;1;1;;;1;;;;;;;;;1;1;;;;;;;;
27129-7297;1;6;1;1;;1;;20;1;;;8;8;;8;;;;1;1;3;;1;1;1;1;1;1;2;2;;;;;1;;;;1;1;;;6;1;1;1;1;1;2;1;5;1;3;;;;;;1;;;4;;2;2;2;;;;;;;2;2;1;;2;;;;1;1;1;;;;;;;;;;2;;;7;1;;1;1;;;;;;1;1;;;;;;;2;1;;3;;3;;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;3;
28835-4435;1;6;;;;;;11;;;;3;4;;2;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;4;;;;;;2;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;1;1;;;;;;;;3;;;1;1;1;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
30696-4435;1;3;;;;;;14;;;;1;1;;8;2;10;;1;1;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;1;;;;2;2;1;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;1;1;3;1;;;;;;;;;;;;2;;1;;;;;;;;3;;;1;;;;;;;;;;;;;;;
40640-6402;1;2;;1;;1;;17;;;;10;5;;20;11;28;1;1;;;;1;1;;;;;1;;;;;;1;;;;;;;;1;;;1;;;1;;;;;;;;;;;;;7;;1;1;;;2;2;2;1;;;;;;;;;;2;;1;1;1;1;2;1;;;;;;;;2;;;2;1;1;1;;;;;;;;;;;;;;;6;;4;;;;;4;3;4;3;1;2;11;;6;2;1;;3;2;;;11;2;2;5;1;3;1;1;;;;1;;;;;;;
29011-4114;1;6;5;1;;2;;32;1;;;7;9;1;40;16;20;1;1;2;3;;1;1;;;;;1;1;;;;1;1;;;;1;1;;;;;4;;;;1;1;2;;1;;1;;;;;;;13;;5;1;1;2;6;6;1;1;;1;;1;;3;;;1;4;3;1;1;;;;;;;2;;;;;6;;;3;1;1;;;;;1;1;;;2;;;3;1;2;1;17;1;9;1;4;2;1;3;1;6;3;;1;12;2;2;2;1;;3;2;1;1;3;2;2;3;2;1;1;;1;;;1;;;2;;;1;
31077-4434;1;5;;2;6;6;;30;;;;3;7;;16;3;3;;1;;1;;1;1;1;1;1;;1;1;;;;;2;2;1;1;2;2;1;1;4;;;2;1;1;1;;5;;1;;;;;;2;1;;7;;1;;;2;1;1;1;;;1;1;;;1;;;1;1;;1;1;1;;;;;;;;;;;3;1;;1;1;1;1;;;;2;2;2;;;;;1;1;;;2;;;;;;;1;1;3;3;;;3;2;1;;;;3;1;;;1;1;;;;;;;;;;1;;;;;;1;
44049-6590;1;5;;1;;3;;47;;1;;10;11;2;9;;;;1;2;;1;;;;;;;2;;1;1;1;;1;;;;1;1;;;3;;;2;1;1;4;1;7;1;4;2;1;1;1;1;;;1;7;;3;1;1;;;;;;;;;;1;6;1;1;1;2;;1;;;;2;2;1;1;;1;2;1;;8;5;1;1;1;;;2;2;1;;;;;;1;1;;;2;1;3;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;1;1;;;
21169-6402;;1;;;;;;8;;;;;;;10;5;16;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;4;;1;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;1;1;2;2;1;;4;;1;;;;1;1;;;3;;;1;;;;;;;;;;;;;;;
40270-6401;2;18;1;1;8;2;;49;;;;7;7;;28;4;10;1;2;2;1;2;;;;;;;2;1;1;1;1;;1;2;;;1;1;1;;11;2;;1;;;5;2;3;;1;;;;;;;;;15;;6;1;1;1;;;;;1;;;;;1;;;;4;1;1;1;;;;;;;;;;;;4;;;3;;;;;;;;;;;1;;;1;;2;2;7;;1;;1;1;1;;;1;1;;;4;;2;1;1;1;3;1;;;3;2;1;1;1;1;1;1;1;2;2;;;;;;;;
27532-4114;1;1;;;;;;14;;1;1;4;3;;11;3;4;;1;5;5;;1;1;1;1;1;1;1;;;;;;;;;;;;;;1;;;;;;1;;2;1;1;;;;;;;;;5;;2;;;;2;2;;;;1;;;1;;;;;1;;;;;;1;;;;1;1;1;;;2;;;1;;;;1;;;;;;;1;;;;;1;1;3;;;;;;;;;;;;;3;;1;1;1;;2;;2;2;3;2;;2;1;2;1;1;;;;1;1;1;;1;4;1;
41281-6401;1;4;;7;;7;;66;5;7;3;41;50;3;14;11;11;;1;24;12;;1;1;1;1;1;;1;;;;;;6;;;;5;5;;1;1;;;4;2;2;2;;34;3;24;;3;3;7;5;1;;1;10;2;4;2;1;1;6;5;1;;;9;3;5;7;8;4;4;1;9;1;6;3;1;1;16;8;4;4;;6;11;5;4;30;3;2;5;5;3;1;11;7;4;2;;;;8;2;2;1;;5;3;7;3;3;2;2;2;2;3;3;4;4;2;1;10;;3;2;1;1;3;1;1;1;4;2;1;2;1;1;1;1;;;;1;5;3;1;3;9;3;
31136-5799;1;3;1;7;7;5;;56;;1;;11;29;;55;10;20;;1;3;4;1;;;;;;;;;1;1;1;;4;3;1;1;4;3;1;;;;;;;;1;;17;1;5;1;;;3;;1;4;;15;1;3;2;2;1;6;5;4;2;1;3;3;;1;4;1;1;;1;1;;;;;4;1;;;;;3;;1;9;2;1;1;;;;4;1;;2;;6;1;;;;2;;3;;8;;4;;4;;;1;1;5;4;3;;9;1;7;3;2;1;4;3;2;2;16;4;3;7;2;5;1;1;;1;1;;1;;;1;2;4;
39383-6401;1;10;;3;;7;;25;;1;;31;14;1;28;6;7;;1;;;1;;;;;;;;1;1;1;1;;3;;;;3;3;;;3;;;2;1;1;1;1;3;;2;;2;1;;;;;;9;1;2;2;;1;;;;;;;;;1;;;;;26;;23;18;14;9;4;2;;;;;1;;;11;;;10;8;6;3;1;;;1;;1;1;;;;1;;3;2;7;;3;;;;;;;2;1;1;;5;;3;2;1;1;2;1;;;3;1;;2;;1;;1;;1;1;;;;;;;;
31743-6030;2;3;1;;3;2;;9;1;;;2;4;;1;;;;2;2;;;2;2;2;2;2;1;2;;;;;1;;;;;;;;;2;;;;;;;;4;;2;;1;1;;;1;1;;;;;;;;;;;;;;;1;;;;;;1;;1;1;;;;;;;;;1;1;;2;;;1;1;1;;;;;1;;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;
30834-4435;1;10;1;3;;3;1;34;1;3;;28;25;;18;4;11;;1;1;;1;;;;;;2;4;1;1;1;1;;3;;;;3;3;;;6;2;;;;;4;;16;2;12;;2;1;5;4;1;;;8;;2;;;;;;;;;;;1;3;4;2;2;;8;1;4;2;1;;9;5;2;2;2;1;5;2;1;23;1;;6;4;2;1;9;5;2;1;1;;;;;;;2;;;3;;;;;;;;;1;1;;;4;;1;;;;1;1;;;1;;;;;;;;;1;1;;;;;;;;
27738-4433;1;12;;6;;5;;29;1;;;15;21;;40;11;23;;1;8;;1;;;;;;4;4;;1;1;1;;4;;;;4;4;;;5;1;;;;;2;;6;;1;;1;1;;;1;1;;8;;3;1;1;;2;1;1;;;;;1;;1;;;1;4;;4;2;2;2;3;;;;2;3;;;;11;;;3;3;2;2;3;;;6;4;4;3;3;;;1;;5;2;19;4;7;1;4;2;;3;2;4;2;1;1;7;;2;1;;;4;1;2;1;7;1;;3;1;2;;1;;1;1;;;;3;2;;;
31863-4448;4;13;;1;3;3;;45;1;1;1;10;14;;28;4;8;;4;4;;;3;3;2;2;1;;3;;;;;;;;;;1;;1;;5;;;1;;;;;3;;3;;1;1;1;1;;;;11;1;3;;;;1;1;1;1;;;;;1;1;;;1;4;;1;1;;;3;3;1;1;;2;5;;2;7;1;;3;1;1;;2;2;;1;;1;;1;;;;1;4;1;9;3;1;1;1;1;1;1;1;1;1;;;4;;1;1;;;2;1;1;1;2;2;1;2;2;;;;;1;;3;1;;;;;;
31331-4434;1;3;;;;;;10;;;;;2;;12;3;8;;1;;;;1;1;1;1;1;1;;;;;;;;;;;;;;;3;;;;;;1;;1;;;;;;;;;;;4;;2;2;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;3;;2;;;;;;;;;3;1;1;1;;;2;1;1;1;4;1;;2;;1;;;;;;1;;;;;;;
31801-4603;3;5;4;2;4;3;;20;1;;1;7;5;;20;2;2;;3;5;3;3;2;1;2;2;1;1;1;1;3;3;3;1;2;2;1;;2;2;1;;3;;2;;;;;;2;;2;1;;;;;;;;4;1;;;;;2;2;2;1;1;1;;1;;3;1;1;1;3;1;2;1;1;1;;;;;;;;;;4;2;1;1;;;;;;;1;1;;;;;;1;1;1;;4;;;;;;;;;;;;;2;;2;2;1;;2;;2;2;2;1;;2;1;1;1;;;3;3;1;;;;;3;;
40755-7114;1;8;;;10;3;;19;;;;3;5;;11;7;7;;1;;;;1;1;1;1;1;;;;;;;;;4;2;2;;;1;;3;;;1;;;4;2;2;;2;;;;;;;;;8;;2;1;1;1;3;3;2;2;;;;;;;;;;;;;;;;;;;;2;;2;;1;3;;;;;;;;;;;;;;;;;1;;1;;3;1;2;1;1;1;;;;2;1;;1;6;1;2;2;2;2;2;1;;;3;1;1;3;1;2;1;2;;;;1;;;;;;;
30904-4603;2;4;1;2;;2;;33;1;;;12;13;;28;8;12;1;2;;;1;1;1;1;1;1;;2;;1;1;1;;2;;;;2;2;;1;2;1;;1;1;1;1;;3;;3;2;;;1;1;;;;14;1;4;2;1;;3;2;1;;;;;1;;5;1;1;1;;;;;;;4;4;2;2;;;;;;11;4;1;;;;;4;4;2;1;;;;;;;1;;1;1;6;;3;;1;;;1;1;1;1;;;6;3;3;1;;;3;1;2;2;3;;;1;;;;;;1;1;1;;;;;;;
31295-4433;2;10;;3;1;3;;32;1;;;4;12;;9;;;;2;4;;2;;;;;;;1;;;;;;;1;1;1;1;;;;3;;;2;1;;1;;7;;;;;;;;1;;;4;;3;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;2;2;1;;2;1;;;;;;;;;1;;;;;;;2;;1;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;1;;;;
44965-7297;;6;1;2;2;3;;24;2;1;;9;14;;21;4;3;;;1;;;;;;;;2;1;2;;;;;1;;;;2;1;1;;5;1;;1;;;;;8;1;4;1;1;;1;1;;1;;10;;1;1;;;;;;;;;;2;1;2;;;;2;;;;;;2;1;;;;;3;;2;8;2;;2;;;;1;1;;;;1;;1;;;3;2;1;;3;;1;;;;;1;;4;1;;2;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
30492-6030;1;6;;3;6;3;2;15;;;;7;5;;8;1;;;1;;;;;;;;;;;;;;;;1;;;;;;;1;3;;;;;;;;1;;1;;1;1;;;;;;2;;1;;;;;;;;;;;;;;;;;3;;2;1;;;;;;;2;;;;;4;;;1;1;;;;;;;;;;;;;;1;1;1;4;;1;;;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
41322-6400;1;2;;1;;1;;33;;;;5;5;;30;11;24;;1;1;1;;1;1;;;;;1;;;;;;1;;;;1;1;;;2;;;1;1;1;2;;;;;;;;;;;;;9;;2;2;;;4;2;1;1;;1;;;;;;;;;;;;;;;;;;1;;;;;3;;;;;;;;;;;;1;;;;;;;1;1;6;;3;;;;;1;1;1;1;1;2;6;1;2;2;;;3;2;1;;3;;;2;;;;;;;;1;;;1;;;;
18444-6895;1;3;1;;;;;6;;;;;;;3;1;1;;1;;;1;;;;;;;1;;1;1;1;1;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
31830-4435;2;14;1;5;56;10;3;37;;;;8;13;;5;1;1;;2;9;;;2;2;2;2;2;3;2;;;;;;5;22;10;3;2;2;6;;10;1;1;5;2;2;1;;5;;2;;1;;;;;;;3;;2;1;;;;;;;;;;;;;;;;2;;;;;;2;1;;;;;2;;1;5;;;1;;;;1;;;3;1;2;2;1;;;;;3;;3;3;2;2;;;;;;;;;;1;;1;1;1;;1;1;;;1;1;1;1;1;1;1;;;1;;2;;;;8;;;
26940-4917;1;7;;1;8;4;;33;;;;;7;1;11;;;;1;;;1;;;;;;;2;;1;1;1;;1;2;;;1;1;2;;3;1;;2;;;4;1;5;3;;;;;;;;;;9;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;1;;;;;;;;;;;;;;;;1;;2;2;2;;3;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
20796-4435;1;6;2;5;;5;;26;;;;9;11;1;27;5;6;1;1;8;3;;1;1;1;1;1;;2;1;;;;;4;;;;3;3;;;3;;;2;1;1;;;3;;1;;1;;;;1;;;5;;1;;;;1;;;;;1;;;;1;;;;6;1;2;2;1;1;;;;;;1;;;;2;;;1;;;;;;;2;;2;1;2;;;;;3;;10;2;4;;3;3;1;;;;;;1;2;;1;1;;;1;;;;3;1;;2;1;2;1;1;1;;;1;;;2;2;1;1;
31469-6895;1;4;;7;;6;;25;;;;7;20;;21;2;2;;1;;2;;1;1;1;1;1;1;;2;;;;;5;;;;6;5;;;3;;;2;2;2;1;;10;;1;;1;1;;;4;3;;3;1;;;;;;;;;;1;1;;;1;;;;3;1;2;;;;3;2;;;1;;5;;;7;;;3;2;;;2;2;;8;5;5;2;;;;;;3;1;6;1;2;;1;1;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;1;;;;;;2;
31658-4435;;8;;5;56;10;;35;1;;2;13;17;3;7;3;4;2;;3;;;;;;;;1;;;;;;;5;21;7;2;3;3;5;1;4;;;7;1;1;8;2;8;2;5;1;3;;;;1;;;5;1;4;;;1;1;1;;;;;;1;;2;1;1;;8;2;1;1;1;1;5;5;1;1;;1;3;2;1;12;1;;8;1;1;1;4;4;1;3;3;;;;3;2;;;1;;5;;;;;;;;;1;;;;3;1;3;2;1;;1;1;1;1;3;1;;2;1;1;1;;2;;;;;2;;1;;;
39719-6401;1;19;;5;19;6;3;40;;;;7;6;;18;6;12;;1;5;;1;;;;;;1;6;;;;;;5;3;2;2;5;5;1;;11;2;;2;1;1;;;2;;1;;1;1;;;;;;8;1;2;1;1;1;2;1;;;;;;;;1;;;1;2;;2;2;2;2;;;;;;3;;;;4;1;;2;2;2;2;;;;;;;;1;;;1;1;2;1;3;;1;;1;1;1;1;;3;;;1;3;;;;;;1;1;;;1;1;1;1;1;1;1;;;1;1;;1;;;1;;;
44022-6590;1;6;;6;10;7;;102;1;1;;21;33;;44;4;4;;1;2;2;1;;;;;;;2;;1;1;1;;6;2;1;;5;5;;1;4;1;;3;2;2;20;3;23;4;13;3;;;6;5;1;;;18;;9;4;2;1;2;2;1;1;;2;2;1;1;10;1;1;2;3;1;;;;;8;7;2;2;;2;7;;1;21;9;1;2;;;;8;7;2;5;4;1;1;;;;;1;1;1;20;1;8;1;4;2;1;1;1;2;2;1;;4;1;3;2;1;1;3;3;2;2;3;3;2;2;2;1;1;1;;1;1;;;;;;;2;
31311-6030;2;10;;;5;1;1;17;1;1;;10;10;;13;3;4;;2;;;1;;;;;;;;3;1;1;1;;;;;;;;1;;3;;;;;;;;3;;2;;;;;;1;;;1;;;;;1;;;;;;;;;1;;;;;3;;3;2;1;;1;1;1;;;;;;;7;;;1;1;;;1;;;1;;1;;;;;2;;;;4;;;;;;;;;1;1;;;3;;2;1;1;1;1;1;;;3;;;1;;1;;1;;2;1;;;;;;;;
27706-4435;1;12;;;;;;28;3;1;;6;15;;28;1;4;;1;;;1;;;;;;;2;1;;;;;;;;;;;;;7;;;;;;;;6;;1;;;;;;1;1;;8;1;3;1;;;;;;;;;;3;1;;;;;2;;1;1;1;1;;;;;1;;1;1;;4;;;1;1;1;1;;;;2;;2;;;;;2;;1;;7;;3;;1;1;1;;;;;;;1;;1;;;;1;1;;;2;1;1;;;;;;;1;1;;;;;;;;
