aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>14>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>41>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;16>31>;17>30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
31858-4434;1;8;;;;3;2;30;2;1;1;7;14;2;32;5;9;;1;3;3;;;;;;;1;;2;;;;;;;;;;;;1;5;;;1;;;1;;6;;4;1;1;1;1;1;;1;1;8;;2;2;1;;1;1;;;;1;;1;1;2;1;;;2;;2;2;;;1;1;;;;;2;1;;6;2;1;2;2;2;;1;1;;1;;2;;;1;1;;;;;7;;3;;2;;;1;1;1;1;;;4;1;;;;;1;;1;1;2;;;1;;;;;;1;;;;1;;;3;2;
31589-4435;1;8;1;;20;2;;19;1;;;3;4;;15;4;11;;1;3;;1;;;;;;1;2;1;;;;;;7;1;;;;1;;3;;1;;;;1;1;2;;1;;;;;;;;;6;;3;2;1;;2;1;1;;;;;1;;1;1;;;1;;1;1;;;1;1;;;;1;1;;;3;1;1;1;1;1;;;;;;;;;;;;2;;1;1;7;1;4;;3;1;1;;;;;;;4;1;1;;;;2;;1;;4;1;;1;;;;;;1;1;;;;1;;;;
31447-4435;2;12;;1;27;6;;65;2;3;;24;35;;16;2;3;1;2;;1;;2;2;1;1;1;1;5;;;;;;1;5;2;;;;2;2;7;3;;3;;;;;19;2;14;4;6;3;;;1;1;;8;1;3;1;1;;;;;;;;;2;3;6;2;2;1;10;;4;3;1;;1;1;;;;;5;;1;21;5;1;9;4;3;1;;;;1;1;1;;;;;;;2;1;4;1;1;;1;1;;;;;;;;1;;;;;;1;;;;;;;;;;;;1;;;2;;;;;;1;
44065-6402;2;5;;6;;6;2;60;2;2;1;35;42;7;52;7;7;1;2;6;;1;1;1;;;;;2;1;1;1;1;;6;;;;6;6;;;2;;;2;2;2;1;;20;1;12;3;3;1;2;2;;1;;24;5;7;6;2;3;2;2;1;1;;;;2;2;17;4;2;7;7;6;3;1;1;;3;3;;;;2;3;;1;29;9;2;6;3;1;1;3;3;;3;2;3;;3;5;4;2;;7;5;13;3;8;3;2;;;;;3;3;;;7;4;2;2;2;1;5;4;1;1;2;1;1;2;1;2;1;1;1;1;1;1;;1;3;1;;;
28250-4917;2;5;;;;;;30;1;1;;4;14;;17;2;5;;2;8;;1;1;1;1;1;1;;1;;1;1;1;;;;;;;;;;3;;;;;;2;;5;;;;;;;;2;;;7;;3;2;1;;;;;;2;;;;1;2;;;1;1;;;;;;;;;;;1;;;;3;1;;1;;;;;;;4;;1;;2;;;;;3;1;3;;2;;1;;;;;;;;;2;;1;1;1;;1;;;;1;1;;1;1;1;1;;;1;1;1;1;;;;;;
44024-6590;1;5;;3;;3;;85;;4;1;28;42;1;24;6;5;1;1;5;2;;1;1;;;;;;;;;;;2;;;;3;2;;;2;;;2;2;2;6;;35;;17;;6;2;;;3;2;1;6;;1;1;1;1;1;;;;;1;;;3;1;;;;11;;4;1;1;;1;1;;;3;1;2;;;22;;;10;4;1;1;;;;4;3;3;2;;;;1;1;2;1;8;;3;;1;1;1;1;1;3;1;1;3;1;;1;1;;;1;1;;;3;;;1;;;;;1;;;1;;1;;1;2;1;
40389-6895;;1;;2;;2;1;19;;;;3;4;1;25;1;6;1;;;;;;;;;;;1;;;;;;2;;;;2;2;;;;;;1;1;1;;;;;;;;;;;;;;11;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41058-6590;1;6;7;4;;3;;52;4;2;3;21;29;3;44;11;21;2;1;9;2;;1;1;1;1;1;;2;;;;;2;2;;;;3;2;;;1;;5;2;2;1;2;1;10;;5;;2;;;;1;;;14;1;7;4;3;1;2;1;;;;;;4;2;4;1;;;8;1;1;;;;;;;;1;3;4;;1;17;2;1;7;1;;;;;;4;2;1;1;2;3;2;1;;7;4;17;4;9;2;4;4;1;;;3;3;2;2;8;1;4;2;2;1;4;4;1;1;11;3;2;4;;2;;1;2;;;1;2;3;1;1;2;1;
31400-4448;1;10;;;;2;;33;2;;;10;13;;23;10;9;;1;;;1;;;;;;;1;;1;1;1;;;;;;;;;1;7;1;;1;;;2;1;2;1;1;;;;;;;;;8;;2;;;1;3;1;;;;;;2;;1;;;;1;;;;;;1;1;1;1;;;1;1;;7;;;1;;;;1;1;1;;;1;;;;;;;2;1;4;1;1;;;;;;;1;1;1;2;7;;5;2;1;1;;;;;6;;;3;;2;;2;;1;1;;;;;;;;
36383-6401;1;5;2;3;13;5;2;23;;;;15;13;8;3;2;2;;1;1;1;1;;;;;;;1;;1;1;1;1;3;3;1;1;2;2;2;1;4;;1;3;1;1;2;;1;;1;;;;;;;;4;3;;2;1;1;;;;;;;;;;;2;;;;4;;1;;;;8;5;1;1;;;1;;;13;2;;3;1;;;7;4;1;;;;;1;8;8;;;1;1;2;1;1;;1;1;1;1;1;1;1;1;;2;;2;;;;1;;;;2;1;;;;;;;;1;1;;;;;;;;
36758-5799;1;3;;2;;2;;8;;;;1;1;;10;2;2;;1;;;;1;1;1;1;1;;1;1;;;;;2;;;;2;2;;;;;;;;;1;;;;;;;;;;;;;3;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;7;;5;;3;3;3;;;;;;1;1;1;;;;;1;;;;2;;;;;;;;;;;1;;;;;;;
30777-4433;1;13;;;;;;20;1;;;5;9;;26;4;11;1;1;;;;1;1;;;;1;1;1;;;;;;;;;;;;;4;;;;;;1;;2;;;;;;;;1;;;11;;6;1;1;;1;1;1;;;;;1;;1;;;1;;;;;;;1;1;;;1;;;;;5;1;;;;;;;;;1;1;1;;;;;2;1;2;1;13;1;5;;3;2;2;1;1;2;2;;;4;1;2;1;1;1;2;1;;;4;;;2;;1;;1;1;;;1;;;;;;;
42004-6402;;3;1;2;1;2;;29;3;;;5;19;;42;2;2;1;1;5;;;;;;;;;2;;;;;1;1;;;;1;1;1;;2;;1;1;;;1;;6;1;3;;;;1;1;;;;8;;2;1;1;;;;;;3;;;3;;1;;;;;;;;;;1;1;1;1;;1;5;2;;5;1;;;;;;1;1;1;1;;3;2;1;;;2;1;4;;12;3;6;2;3;2;2;;;1;1;;;2;1;1;;;;2;1;;;1;1;1;;;;;;;;;;3;;;;;;
23467-4433;1;7;;1;;2;;10;;;;3;3;;10;2;;;1;2;;;1;1;;;;;;;;;;;;;;;1;;;;2;;;1;1;;;;;;;;;;;;;;;6;;;;;2;;;;;;;;;;1;;;1;2;1;1;;;;1;1;1;;1;;;;;3;;;2;1;;;1;;;1;1;1;;;;;3;;2;1;3;1;1;1;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;
30940-4435;1;12;1;;;1;;55;4;3;;37;34;4;36;15;22;1;2;2;1;;1;1;1;1;1;1;3;4;;;;;;;;;;;;1;4;;;;;;1;;14;1;10;;4;4;;;1;2;;8;1;4;2;1;;3;2;1;1;;;;4;2;2;;;;19;1;12;9;6;3;4;2;;;4;1;4;1;;28;1;;12;8;6;4;2;1;;4;3;2;1;;2;1;1;1;5;5;13;2;4;;2;1;1;;;3;2;2;2;13;1;7;4;1;1;4;3;;;8;1;1;4;1;1;1;1;1;;;1;2;;;;;1;
31735-4434;4;7;2;;;;;25;1;;;1;4;;15;12;17;5;4;;;2;2;2;2;2;2;;2;;1;1;1;;;;;;;;;;5;2;1;;;;;;3;;1;;;;;;;1;;9;;3;3;;1;5;5;5;1;;;;1;;;;;;;;;;;;;;;;1;;1;;;1;;;;;;;;;;;;1;1;;;;1;;;;5;;3;;;;;1;1;3;3;3;;12;3;11;3;3;2;6;1;4;4;16;4;1;4;1;4;;2;4;2;2;2;;;;;;;
31522-4917;1;3;;;;;;17;;;;3;5;;19;7;25;2;1;1;;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;6;3;;;;;;;;;;;;9;1;1;;;;3;3;3;3;;;;;;1;;;1;;;;;;;1;;;;;;2;;;3;1;;;;;;1;;;2;2;;;;;;1;1;2;1;5;1;3;1;1;;;;;;;;;7;2;3;3;1;1;5;1;1;1;9;2;1;6;1;1;;1;2;1;1;;;;;;;;
27352-6401;2;4;;;6;1;;11;;;;;;;8;1;;;2;;;1;2;2;1;1;1;;;;1;1;1;;;;;;;;1;;1;;;1;;;;;;;;;;;;;;;;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;;;
30705-5799;1;2;1;1;;1;;17;;;1;1;5;;12;;;;1;4;2;;1;1;1;1;1;;1;;;;;1;1;;;;1;1;;;2;;;;;;2;1;2;;;;;;;;;1;;9;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;1;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;1;2;1;
42250-6402;1;6;;;;;1;24;;;;2;3;;24;2;1;1;1;;;;1;1;;;;1;2;1;;;;;;;;;;;;;2;;;;;;1;;2;;2;1;1;1;;;;;;13;;2;;;;1;1;1;;;;;;;2;1;1;1;1;1;1;1;;;;;;;;;1;;;2;2;1;1;1;1;;;;;1;;;;;;;;;;;2;;;;;;;;;1;;;;1;;1;1;1;;1;1;;;1;1;1;1;1;1;1;;1;;;1;;;;;;;
30968-4434;1;5;3;;;;;18;2;;;3;9;1;10;;;;1;;;1;;;;;;2;;;1;1;1;1;;;;;;;;;1;;;;;;;;2;;;;;;;;1;;;7;;3;1;;;;;;;;;;2;;;;;;1;;1;1;;;;;;;1;;1;;;3;;;1;1;1;;;;;1;1;1;;;1;1;1;3;;;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
31601-6590;1;15;;2;;1;;38;1;;;10;12;;24;7;11;;1;3;;;1;1;1;1;1;;1;1;;;;;;;;;1;;;;10;;;1;1;;1;;5;;3;;1;1;1;1;2;;;8;1;2;1;;1;3;3;;;1;;;1;;3;;;1;5;1;3;3;1;;1;1;;;1;1;1;1;;9;2;;5;3;3;1;1;1;;3;3;;;;;;;1;2;2;3;1;1;1;;;;;;2;2;1;;7;;1;;;;1;;;;1;1;;;;;;;;;;1;1;;1;1;;;
31210-5799;2;3;;;;;;12;;;;;2;;28;5;12;;2;;;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;4;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;1;;6;1;2;1;;;;;;;;;;5;;4;2;2;1;2;1;;;11;2;1;4;2;3;2;1;;2;1;;;;;;;;
28043-4435;1;7;;;;;;13;;;;;;;1;;;;1;7;4;;1;1;1;1;1;1;3;;;;;;;;;;;;;;6;1;;;;;1;;;;;;;;;;;;;1;;1;1;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;3;1;
31805-6895;1;4;;;7;4;;11;;;;2;4;;9;3;3;;1;;;;1;1;;;;;2;;;;;;;3;1;;;;2;1;2;1;;3;;;2;1;1;;1;;;;;;;;;6;;3;3;2;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;2;;1;2;;;;;;;;;;;;;;;;;;;1;;4;1;3;1;3;2;1;2;2;3;3;1;;3;;1;1;1;1;1;;1;;1;1;;1;1;1;1;1;;;;1;;;;;;;
36131-7297;1;6;6;;;;1;13;;;;2;2;;5;;;;1;;;;1;1;1;1;1;;4;;;;;3;;;;;;;;;1;1;5;;;;;;1;;;;;;;;1;;;5;;3;1;1;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;2;1;;;;;;;;;1;1;;;;;;2;;;;3;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
31317-4114;3;10;;;;2;1;28;;;1;4;11;1;25;2;1;;3;2;;1;2;2;1;1;1;;3;2;1;1;1;;;;;;;;;1;3;;;1;;;;;4;1;1;;1;1;;;;;;13;1;6;2;2;;;;;;;;;;;1;;;;2;1;1;;;;2;1;1;;;;4;1;2;4;;;2;1;;;2;1;1;;;;;2;1;1;2;1;4;1;10;2;4;;4;2;2;;;1;;;;1;;;;;;;;;;;;;;;;;;;1;1;2;;1;;;;;
31306-4433;1;7;;;;;;18;1;;;1;3;;15;4;11;;1;1;;;1;1;1;1;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;6;;3;;;;1;1;1;1;;;;1;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;1;;;1;1;1;;3;;;;;;;;;2;2;;;3;;1;1;1;1;3;1;1;1;3;1;;3;1;2;1;1;;;;1;;;1;;;;
33161-5061;1;7;7;;;1;;14;1;;;3;4;;7;1;1;;1;2;;;1;1;1;1;1;3;2;;;;;4;;;;;;;;;3;;6;;;;;;1;;1;;1;1;;;;;;2;;;;;;;;;;;;;1;;;;;;1;;1;;;;;;;;;2;1;;;1;;;1;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;1;;;;1;;;;1;1;;;;;;;;;;1;;;;;;;
31451-4448;1;8;1;;2;3;2;81;5;4;1;29;29;11;50;17;21;8;1;6;2;1;;;;;;1;3;;;;;;;1;1;1;;;;2;1;1;;1;;;4;;8;1;5;1;;;;;;1;3;16;;4;;;;5;4;1;;1;;;4;4;13;;;1;4;1;;;;;2;;;;;3;6;;1;16;6;;1;;;;1;;;4;2;1;1;1;7;3;3;1;4;1;15;1;1;;1;1;1;;;2;;;1;11;;2;;;;3;1;1;1;6;2;;;;;;;4;1;1;;3;1;1;;;;
27889-5061;1;6;1;;;2;;26;1;;;1;3;;9;;;;1;1;;;1;1;;;;;1;;;;;;;;;;;;;;6;;;1;;;5;3;;;;;;;;;;;;7;;;;;;;;;;1;;;1;;;;;;;;;;;;1;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
36139-6030;1;11;;2;11;8;;59;2;3;;14;25;;23;12;25;;1;7;;;1;1;1;1;1;1;2;;;;;;2;2;2;2;2;2;;;3;;;2;;;;;8;;1;;1;;;;;1;;6;;1;;;;7;5;;;2;;;2;3;1;;;;4;;1;1;1;;3;2;;;;;;;;7;;;2;1;1;1;2;1;;2;1;2;1;;;;1;;2;;4;;1;;;;;1;1;1;1;;;9;2;1;1;;;4;2;1;1;3;2;;2;2;;;;;;;1;1;;;;;;
40169-6400;1;1;1;5;;6;;43;1;;4;2;10;;34;8;10;;1;5;;1;;;;;;1;1;;1;1;1;;4;;;;3;3;;3;1;;1;3;3;3;3;1;6;;1;;1;1;;;3;1;;13;;4;4;1;;3;2;1;;;;;1;;;;;;1;;1;;;;;;;;;1;1;1;;1;;;1;1;;;;;;5;;2;;3;;;;2;;;7;;6;;2;2;2;2;2;2;2;1;4;6;1;3;1;1;1;2;;2;1;3;1;;1;1;1;1;1;;1;1;;1;4;;;;;
40777-6400;1;1;;1;;1;;34;;;;6;6;;25;5;5;1;1;2;1;;1;1;1;1;1;;1;;;;;;1;;;;1;1;;;;;;;;;;;2;;;;;;;;1;;;13;2;2;1;;1;1;1;1;1;;1;;;;;;;;3;;1;1;;;2;;;;;1;1;;;4;;;2;;;;1;;;1;;2;2;;;;;3;2;2;9;1;4;;1;1;1;3;1;3;3;2;2;5;;4;2;1;;2;2;1;1;4;2;2;2;2;1;1;;;;;1;;;;;;;
21513-6030;1;3;;2;10;2;;21;1;3;;17;7;1;8;2;5;;1;10;6;1;;;;;;;;;1;1;1;;2;3;2;1;1;1;;;2;;;1;1;1;1;;4;;2;;;;;;1;;;4;;1;;;;;;;;1;4;;1;3;;;;;2;;;;;;;;;;;1;;;;6;;;2;;;;;;;1;1;;;;;;;1;1;1;3;;;;;;;;;;;;1;1;;;;;;;;;;3;;;1;;1;;;;1;1;;2;;1;3;4;;
31155-4433;2;8;;;;;;18;;;;1;1;;19;4;7;1;2;;;2;;;;;;;1;;1;1;1;;;;;;;;;;1;;;;;;1;;1;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;2;;2;1;1;;;1;;;;1;;;;;;1;;;;3;1;;2;;1;;1;1;2;2;;;;;;;;
44172-6895;1;4;1;;;;;16;1;;;7;10;;20;4;2;;1;2;;1;;;;;;;;2;1;1;1;1;;;;;;;;;1;;1;;;;;;2;;1;;;;;;;1;;2;1;1;;;;;;;;;;;1;;;;;;1;;;;;;1;1;;;1;;;;;4;;;1;;;;1;1;;2;;3;1;2;;;;;3;1;5;1;1;1;1;1;;;;;;;;2;;1;1;;;;;;;1;;;1;;;;;;1;1;;;;1;;;;
40960-6401;1;9;2;2;;3;;20;;;;5;5;;12;6;5;;1;;;1;;;;;;2;1;3;;;;;2;;;;2;2;;;5;1;1;1;;;;;2;;1;;;;;;;;;4;;1;;;2;1;1;1;;;;;;;;;;;2;;2;2;1;;;;;;1;;;;;4;;;2;2;2;1;;;;;;;;;;;;;1;1;4;;1;;1;1;1;1;;3;2;2;1;5;1;3;;;;1;;;;3;;;;;;;;;1;1;;;;;;;;
22423-4434;1;5;;;;;;10;;;;;;;11;2;6;;1;;;1;;;;;;;;1;1;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;3;;;;;;;;;;;;;2;;2;;;;2;2;;;3;1;1;;;;;;;1;1;;;;;;;;
27586-4435;1;7;;4;30;9;;57;3;1;;12;35;;18;4;4;;1;14;2;;1;1;;;;1;1;;;;;;4;6;3;2;4;4;1;4;4;1;;6;3;3;1;1;22;9;10;2;1;1;4;4;;;;7;;1;1;1;;1;1;;;5;1;1;3;1;7;2;2;1;2;2;1;1;;;5;5;4;3;;1;14;3;;12;5;2;1;1;1;;5;5;4;1;;;;3;;;1;;1;1;6;1;4;1;2;1;1;;;1;;;1;2;;1;;;;;;;;1;;;;;;;;;;;1;8;;;5;1;2;
39460-6401;1;5;;;;;;9;;;;2;3;;10;4;3;;1;;;;1;1;;;;1;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;4;1;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;;;;;;;2;;;;;;;2;1;1;;;1;;;;;1;;1;;3;;1;;;;;1;;2;;;2;2;;1;1;;;1;1;;;2;1;1;2;1;1;1;1;;;;1;;;;;;;
30926-4433;1;9;4;2;;3;2;33;;;;3;3;;21;7;11;2;1;2;4;;1;1;1;1;1;1;4;;;;;2;2;;;;1;1;;;6;3;3;;;;6;2;;;;;;;;;;;;9;;4;1;1;1;2;2;1;1;1;3;2;;;;;;;2;;2;1;1;;1;1;;;;;;;;3;;;2;2;1;1;;;;1;1;;;;;;1;1;1;1;5;;1;;1;1;;;;1;1;1;;6;;3;3;1;1;1;;1;1;4;1;;3;1;1;1;1;2;;;1;;;;;1;3;
43981-6401;1;9;;;;5;;35;;;9;3;13;;35;13;29;;1;10;1;;1;1;1;1;1;1;1;;;;;;;;;;;;;1;4;;;;;;;;7;1;;;;;;;;;;13;1;5;2;;;4;3;2;1;;1;;;;2;1;;1;1;1;;;;;;;;;1;;1;;1;1;;;;;;;;;;1;;1;;8;;;3;1;2;;11;1;5;;;;;2;2;2;2;1;1;12;3;7;4;4;3;9;6;3;2;10;5;3;6;3;5;3;4;;;;1;;9;;;1;;
31872-4603;1;1;;1;;2;;15;;;;;;;16;1;;;1;2;;;;;;;;;;;1;1;;;1;;;;1;1;;;;;;;;;1;1;;;;;;;;;;;;11;;3;2;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
1436-6400;1;5;;;;4;;39;;;;9;15;3;39;8;23;;1;4;;;1;1;1;1;1;;3;1;;;;;;;;;;;;3;4;2;;3;;;2;1;4;3;1;;;;1;1;;;2;17;1;4;2;;;5;5;3;1;1;;;;;2;;;;;;;;;;4;3;;;;;7;1;4;8;1;;;;;;4;3;;;;;;1;3;3;;1;1;;10;;2;;;;;;;;;;;7;2;5;2;2;1;5;1;2;2;7;3;;4;2;2;1;1;;;;1;4;;;;;;
