aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;41>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>14>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;5>5>;6>6>;6>6>6>;6>6>6>6>;7>5>;7>5>5>;7>6>;7>14>;14>2>;14>2>14>;14>3>;14>7>;14>7>5>;14>7>5>5>;14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>41>;14>32>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;16>31>;17>30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;
41258-6590;1;2;;1;;2;;11;;;;5;6;;15;;;;1;1;3;1;;;;;;;;;1;1;1;;1;;;;1;1;;;;;;;;;1;;2;1;1;;;;;;;;;5;;2;;;;;;;;;2;;;;;;;;3;;2;1;;;;;;;1;;1;;;5;;;3;2;1;;;;;;;;;;;;1;1;;;3;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;1;;
31888-4433;2;13;5;;7;2;;23;;;;6;6;1;10;2;3;2;2;4;4;2;;;;;;;1;;;;;3;;4;1;;;;2;;4;;2;2;;;1;;4;2;2;;;;1;1;;;;5;;2;;;;;;;;;4;3;;;;;;;1;;;;;;1;1;;;1;1;2;1;;5;;;1;;;;1;1;;1;1;;;;1;;;1;1;1;4;1;1;1;1;1;1;1;1;1;1;;;2;;;;;;;;;;1;;;;;;;;1;2;2;;3;;;;3;3;
39946-6401;2;18;4;3;18;7;9;390;8;9;5;92;120;6;75;16;22;3;2;20;20;1;1;1;1;1;1;;10;;1;1;1;3;3;3;;;3;3;;1;14;7;2;4;1;;47;7;85;18;59;21;;;23;17;3;;;42;1;17;6;2;1;6;5;5;3;6;19;9;7;9;34;6;4;1;;;;;;;41;32;20;20;;5;38;8;3;82;27;6;;;;;39;30;20;4;3;1;1;2;4;2;1;11;4;2;29;3;14;2;7;1;1;4;4;5;4;3;1;14;2;13;10;9;3;10;6;;;18;8;4;10;4;9;4;3;3;1;1;1;8;5;;;4;10;
40116-6030;1;12;;;18;3;;76;1;;;7;10;;20;6;7;;1;8;2;;1;1;1;1;1;;1;;;;;;;2;;;;;3;;9;1;;2;;;1;;6;;4;;1;;1;1;;;;12;;5;3;1;1;3;3;;;2;1;;1;;1;1;1;;2;1;1;1;1;1;1;1;;;;1;;;;6;;;2;1;1;1;1;1;;2;2;;;1;;;1;3;;;8;;4;;2;;;;;3;;;;3;;;;;;1;;;;2;1;;1;1;1;1;1;;;;1;1;;;1;2;;
35816-5799;1;2;;;1;1;;12;;;2;;5;2;8;;;;1;2;1;;1;1;1;1;1;1;2;;;;;;;;;;;;1;;1;;;1;;;;;2;;;;;;;;1;;;2;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;2;;;;2;1;;1;;2;;3;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;1;;
41299-6401;1;5;;;8;2;;19;;;;4;3;;21;1;1;;1;3;;;1;1;1;1;1;;;3;;;;;;1;;;;;1;;1;;;2;;;1;;1;;;;;;;;;;;7;;2;2;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;;;;4;;3;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
31384-5061;1;5;2;1;;1;;10;1;1;;8;8;;6;;;;2;1;;1;;;;;;;2;;1;1;1;2;1;;;;1;1;;;2;1;;;;;;;2;1;2;;;;;;;;;2;2;;;;;;;;;;;;;1;3;;;;2;;2;1;1;;;;;;;1;2;1;;7;1;;2;2;1;1;;;;;;;;1;;;;;4;4;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;1;;;;
32380-4434;3;10;5;4;1;5;6;52;5;1;6;27;24;13;48;11;18;3;5;9;2;2;1;1;;;;;1;1;2;2;2;1;3;1;;;3;3;1;1;4;;1;1;1;1;2;1;6;;2;;1;1;;;2;;6;15;;3;2;;1;2;2;2;1;1;1;1;4;1;2;;;1;17;1;12;8;5;4;2;2;;;;4;2;1;;14;;;11;9;6;3;1;1;;3;1;;;3;9;6;;;1;1;11;;5;;1;1;1;;;2;1;1;;8;;6;4;3;1;1;1;;;10;1;1;6;1;3;1;1;3;2;2;1;1;5;4;1;2;1;
31787-4434;2;7;8;;5;3;3;17;;;;1;;2;5;2;;2;2;3;;;1;;;;;;1;;1;1;;3;;3;1;1;;;1;1;;;7;;;;2;;;;;;;;;;;;;3;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;
36057-7297;1;3;;;;1;1;23;;;;3;4;;19;2;2;;1;;;1;;;;;;;;;1;1;1;;;;;;;;;1;2;;;;;;6;4;2;;1;1;;;;;;;;10;1;2;;;;;;;;;;;;;2;;;1;2;1;;;;;;;;;;;;;;3;1;;2;;;;;;;;;;;;;;1;;1;1;2;;;;;;;;;;;;;2;1;1;;;;2;1;;;1;1;;;;;;;;1;1;;;;;;;;
41590-6590;1;4;;;1;2;;12;;1;;5;6;;14;3;3;;1;1;;1;;;;;;;;;1;1;1;;;;;;;;1;1;2;;;1;;;1;1;5;1;4;1;1;;1;1;;;;2;;;;;;;;;;;;;;1;1;;;1;1;;;;;;1;1;1;;1;1;2;;;5;1;;1;;;;1;1;1;;;;;;;;;;;;2;;;;;;;;;1;1;;;2;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;
22525-4435;2;10;7;;;;;13;;;;;1;;1;;;;2;;;1;1;;1;1;;1;1;;1;1;1;6;;;;;;;;;1;;6;;;;1;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
34561-4433;1;11;1;7;1;8;2;68;5;5;;20;25;12;29;5;6;2;1;16;2;;1;1;1;1;1;;2;1;;;;;5;;;;6;5;1;;8;2;1;6;3;3;3;1;15;;8;;;;2;1;1;;3;17;;4;2;2;1;3;2;1;1;4;2;;5;5;5;;;1;1;;;;;;6;2;1;1;;;5;2;;13;2;;1;;;;3;1;1;2;1;;;2;6;3;1;1;3;;11;1;5;;4;1;1;;;1;1;1;;4;1;3;3;3;1;1;1;;;4;;;3;;3;;1;1;;;1;8;;1;2;2;;
42411-7297;1;3;;;;;;14;;;;;2;;3;;;;1;;;;1;1;;;;1;;;;;;;;;;;;;;;2;;;;;;4;1;2;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
32369-4603;1;3;;;;1;;24;2;;;;8;1;22;1;1;;1;3;1;;1;1;;;;;1;;;;;;;;;;;;;;;;;1;;;1;1;3;;;;;;;;1;1;;9;2;3;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;2;;1;;1;;;1;1;3;;7;;3;;1;1;1;;;1;1;1;;1;;1;1;;;1;;;;1;1;;1;1;;;;;;;1;1;;;1;1;1;
32508-4448;1;8;1;1;7;3;1;31;1;;2;2;6;1;18;8;22;;1;5;;;1;;1;1;;;1;;;;;;1;2;2;1;1;1;;1;5;1;1;3;;;2;;1;1;;;;;;;;;;6;;1;1;1;1;4;4;2;1;;;;1;;1;;;;1;1;1;;;;;;;;;;2;;1;1;;;;;;;;;;;;;;3;;;1;1;;;3;;2;;2;1;1;;;1;1;;;6;1;3;2;1;1;1;;1;1;6;;;3;;2;;1;;;;;;2;;;;;
39980-6400;1;3;1;2;;2;1;28;1;;;2;4;1;19;11;28;2;1;;;;1;1;;;;;;;;;;;2;;;;2;2;;;1;;;1;1;1;;;3;1;2;;1;;1;1;;;1;9;;3;1;1;;4;2;;;;;;1;;;;;;1;;;;;;1;1;;;;;2;2;;2;;;1;;;;1;1;;1;;;;;1;;1;;;;6;;1;;1;;;1;;2;;;;7;1;2;;;;2;;;;4;;;1;;1;;1;1;;;1;;;;;;;
33169-6402;2;4;;;23;2;;19;3;;1;3;8;;12;;;;2;1;;;1;1;1;1;1;1;;;1;1;;;;6;3;1;;;1;1;1;;;1;;;1;1;1;;1;1;;;;;;;;8;;2;;;;;;;;1;;;3;;1;;;;2;;1;1;;;1;;;;;;1;;;2;1;;1;1;1;;;;;;;1;;;;;2;;2;;5;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;
40309-6590;2;11;;1;5;2;;53;1;3;;17;24;;50;13;14;1;2;5;;2;;;;;;1;;4;2;2;2;;1;;;;1;1;1;;7;;;1;1;1;1;;11;;6;;3;;;;2;1;;9;;3;2;2;;9;9;8;2;;;;1;3;4;1;1;;7;1;1;1;;;1;;;;4;3;;;;14;1;;5;1;1;;1;;;3;1;5;2;1;;;1;1;8;4;16;3;8;1;6;3;1;1;1;2;2;2;1;13;1;10;4;1;1;2;;;;10;1;;4;;1;;1;1;2;2;;;;1;;;;
27512-4435;1;10;;;;;;30;3;1;;22;24;;17;3;4;1;1;;;;1;1;1;1;1;1;2;;;;;;;;;;;;;;4;1;;;;;;;12;1;11;;8;4;;;;;;5;1;1;1;1;;2;2;2;2;;;;3;1;3;2;2;1;11;;6;;;;1;1;1;1;2;;1;;;16;1;1;9;5;;;1;1;;2;1;1;;;;;;;2;;3;1;1;1;1;1;1;;;1;1;;;3;1;2;2;1;;2;1;1;1;2;1;;2;;1;;;;;;1;;;;;;;
31747-5799;1;3;3;;;;;10;;;;1;2;;9;3;2;;1;;;;1;1;1;1;1;;;2;;;;3;;;;;;;;;;;3;;;;1;1;1;;;;;;;;;1;;4;;1;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;1;1;;;;;1;;1;;4;1;2;1;1;;;1;;1;;;2;2;;2;2;2;1;;;;;2;;;2;;2;;1;;;;1;;;;;;;
40086-6590;1;2;;2;12;12;;19;1;;;12;10;;9;;;;1;1;;1;;;;;;;;;1;1;1;;2;1;;;1;1;;5;1;;;5;1;1;;;4;;2;;2;1;;;1;;;;;;;;;;;;;;;;1;;2;1;;;9;1;3;1;1;1;;;;;1;1;;;;8;;;7;2;1;1;;;;2;1;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;
31453-4433;1;9;;1;;1;;14;;;;4;5;;17;1;1;1;1;;;;1;1;;;;1;;1;;;;;1;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;1;1;1;;;;;1;;;;;3;;;2;1;1;1;;;;;;1;1;;;;;;2;;6;1;6;;1;;;1;1;1;1;1;;1;;1;;;;1;;;;1;1;;1;;;;;;;;1;;;;;;;
40093-6590;1;3;;1;;1;;32;;;;5;7;;32;5;6;;1;;;;1;;1;1;;;;;;;;;1;;;;1;1;;;1;;;1;1;1;2;1;1;;1;;;;1;;;;;11;;4;1;;;3;3;1;1;;;;;;4;;;;;;;;;;3;2;1;1;;;2;;1;5;4;;;;;;3;2;1;;;;;;;;;;4;3;10;1;2;;1;1;1;;;1;;;1;3;2;1;1;1;;3;2;1;1;1;;;1;;1;;;;;;;;;;;;;
21361-4917;3;10;;3;;2;2;48;1;;;2;5;;45;8;22;;3;2;1;;3;3;2;2;2;1;3;2;;;;;1;;;;2;1;;;7;;;;;;;;2;;1;1;;;;;;;;15;;2;1;;;5;5;2;1;;;;1;;1;;;1;;;;;;;;;;;;;4;1;1;1;1;;;;;;;;;;;;;1;;;;;1;;4;;1;;;;;;;;;;;8;1;4;1;1;1;1;;1;1;8;;;2;;1;;1;;;;3;;;;;;;
24192-6401;1;5;;;;1;;15;;;;5;4;;17;4;5;;1;3;;;1;1;1;1;1;1;;;;;;;;;;;;;;;4;;;;;;1;;2;;2;;2;1;;;;;;6;;3;1;;;;;;;;;;;;1;;;;3;1;1;1;;;;;;;;3;;;;4;;;3;1;1;;;;;;;;;;;;1;;;;7;;1;;;;;;;2;;;;2;;2;2;1;1;;;;;2;;;2;;1;;1;;;;1;;;2;;;;
43058-6400;1;6;;2;18;12;4;128;4;12;;68;75;1;95;17;20;3;1;7;1;1;;;;;;;1;2;;;;;2;3;;;2;2;1;4;3;;;3;;;3;2;46;3;30;5;12;7;1;1;4;3;1;30;2;7;2;;2;3;2;2;2;;;;4;12;16;12;6;1;20;3;12;6;4;;2;2;;;;2;8;4;1;47;9;8;16;10;6;4;1;1;;8;3;8;1;2;;;3;2;9;4;34;4;11;2;5;4;1;4;3;7;6;5;;15;4;9;2;2;;7;3;2;2;9;3;2;2;;2;;;3;1;1;;2;;;1;1;1;
41125-7114;1;5;1;1;;2;;15;1;2;;9;9;;14;4;3;;1;1;;1;;;;;;;1;;;;;;1;;;;1;1;;;3;1;;;;;1;1;1;;1;;;;;;;;;8;;1;;;3;;;;;;;;1;2;;;;;;;;;;;;;;;2;1;;;;7;;;;;;;;;;;;;;;;;1;;2;2;3;;;;;;;1;1;4;3;;1;3;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;
35936-7297;1;3;;;5;1;1;24;;;;3;4;;30;6;8;;1;5;6;1;;;;;;;2;;1;1;1;;;1;1;;;;;;2;1;;1;;;;;2;1;1;1;;;;;;;;7;;1;;;1;;;;;;3;;;;2;;;;;;;;;;;;;;1;;1;;1;3;2;;;;;;;;;;;;;;;;1;;1;1;10;;6;;3;1;1;1;1;4;3;2;1;5;;3;2;2;1;1;1;;;6;1;1;3;1;3;1;2;;1;1;;3;;;;4;2;
36400-5799;1;2;;3;2;3;;33;1;;;5;6;;21;8;9;1;1;;;1;;;;;;;2;;1;1;1;;2;;;;2;2;1;;2;1;;2;1;1;1;;4;;2;;1;1;;;;;;14;;4;2;;2;5;5;3;3;;;;1;;3;1;1;1;3;2;1;;;;1;;;;;;;;;4;1;;2;1;;;;;;;;;;;;;;2;1;1;5;;2;;;;;;;3;3;3;;8;1;6;5;4;2;7;3;5;5;7;6;3;5;5;4;4;2;1;1;1;;;;;;;;
30687-4433;;4;2;;20;3;;19;2;;;4;7;3;11;1;3;1;;3;1;;;;;;;1;;;;;;1;;10;4;2;;;1;2;2;;;2;;;2;;;;;;;;;;;;3;4;;3;1;1;;;;;;;1;;2;;;;;;1;;1;;;;1;1;;;;;1;;;2;;;1;1;;;1;1;;1;1;1;1;1;2;1;1;;;;5;;1;;1;;;;;;;;;1;;;;;;1;1;;;;;;;;;;;;;;;1;;1;1;1;;
27350-6401;1;12;;2;;2;;52;;;;27;33;;14;4;4;;1;1;;;1;1;;;;1;1;1;;;;;2;;;;1;1;;;7;;;1;;;1;;8;;6;;5;2;;;1;;;9;;5;2;2;;1;1;1;1;;;;;;5;2;1;2;18;2;9;5;3;1;4;1;;;2;;4;1;1;16;2;;10;6;4;3;1;;;4;2;;;;;;3;;2;;8;2;4;2;3;3;2;3;1;3;1;1;1;2;;1;1;1;1;2;1;;;1;1;1;1;1;1;1;1;;;;1;;;;;;;
17491-6590;3;8;;;;;;20;;1;1;4;6;;6;1;;;3;2;4;1;2;2;1;1;1;;1;;1;1;1;;;;;;;;;;1;;;;;;2;;4;;3;;1;;1;1;1;;;3;;1;1;;;;;;;1;3;2;;1;;;;;1;;;;;;1;1;1;1;;;1;;;3;;;1;;;;1;1;1;1;;;;;;;;;;;2;;2;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;1;;;1;2;
32015-4917;1;4;;;;;;21;1;;;1;3;;20;1;1;;1;;;1;;;;;;1;3;1;1;1;1;;;;;;;;;;2;;;;;;1;1;2;;1;;;;1;1;;;;5;1;1;;;;;;;;;;;1;;;;;;;;;;;;1;1;1;;;;1;1;;1;;;;;;;1;1;1;;;;;;;;1;;1;;4;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
30586-4434;1;6;1;2;;1;;13;;;;2;2;;7;5;2;2;1;1;;1;;;;;;;4;;1;1;1;;2;;;;1;1;;;3;3;1;;;;1;;1;;1;;;;;;;;;4;;2;1;1;;3;1;1;;;;;;;1;;;;1;1;1;;;;;;;;1;1;;;;2;;;1;1;;;;;;;;;;;;;1;;1;1;3;1;1;1;1;;;1;1;1;1;1;1;2;;2;1;1;;1;;;;2;1;;1;;1;;;2;1;1;;;;1;;;;
31462-4448;1;6;1;;2;4;2;28;;;1;5;10;2;22;3;4;;1;3;;1;;;;;;;1;1;1;1;1;;;2;1;1;;;1;2;4;;;1;;;3;;4;1;;;;;;;;1;1;7;;4;3;2;;1;1;;;;;;;;1;;;;;;;;;;1;;;;;;1;;1;5;1;;;;;;1;;;2;;2;2;2;1;;2;1;3;3;11;2;6;1;2;;;;;2;2;2;;3;;2;1;1;;2;1;;;3;2;1;1;1;1;1;;;1;1;;1;1;;1;;;
28164-6590;;5;;;25;2;;29;;;;7;13;;9;;;1;;7;6;;;;;;;1;;1;;;;;;11;5;3;;;2;;3;;;2;;;1;;7;;2;2;;;;;1;2;;3;;1;;;;;;;;2;5;5;;;3;1;;;;;;;;;;;;;1;;;;;5;3;1;;;;;;;;2;;2;1;1;;;1;;2;1;2;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;4;6;
31358-4435;1;15;10;3;16;13;5;87;2;3;;39;35;28;53;15;22;4;1;6;;;1;1;;;;;;;;;;6;3;6;4;1;3;3;1;2;3;;9;6;1;1;4;1;;;;;;;;;;;21;17;;6;2;;4;6;6;4;3;1;;;2;3;2;;;;19;1;12;9;5;1;6;4;3;3;1;3;1;;;32;1;;14;8;7;3;4;4;3;2;2;;;1;26;25;;3;1;1;18;1;6;;2;1;1;1;1;7;6;1;;12;1;6;5;4;3;4;3;2;2;11;4;2;7;3;4;2;3;4;;;1;1;;1;;;;
39955-6401;2;14;;5;;5;;75;7;5;3;55;66;1;28;13;27;1;2;18;;;2;2;1;1;1;;1;;;;;;3;;;;4;3;;;5;;;3;3;3;3;;36;1;19;;5;3;1;1;2;1;1;6;2;4;2;1;;5;5;2;2;;;;7;5;3;3;3;;23;3;13;7;4;2;9;7;;;2;11;2;1;;40;;;15;8;3;2;1;1;;8;5;2;;6;1;1;2;1;6;5;13;1;5;;3;2;;2;1;2;1;1;;12;;8;5;4;1;3;2;1;1;12;3;2;6;3;5;2;2;1;;;2;;3;7;;;;
31729-4448;1;7;;;;4;;14;;;;1;16;;29;7;6;;1;2;;;1;1;;;;;1;1;;;;;;;;;;;;;1;;;2;;;3;1;5;2;1;;;;;;;1;;2;;;;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;1;;2;1;1;1;;;;;;;;;;;;6;2;;;;;;;;6;;2;;;;;;;;;;;6;;3;2;2;2;1;;;;3;1;;2;1;2;1;2;;;;1;;;;;;;
22787-4435;1;3;2;1;;1;;12;;;;7;4;;16;2;2;;1;1;;1;;;;;;;;;1;1;1;2;1;;;;1;1;;;1;;2;;;;;;1;;;;;;;;;1;;4;1;;;;;;;;;;;;;;;;;;2;;1;1;1;1;1;1;;;;1;2;1;;2;;;;;;;;;;;;1;;;;;1;;1;1;3;;1;;;;;;;2;2;2;;2;;2;2;2;2;;;;;2;;;2;;2;;2;;1;1;;;;1;;;;
31336-4434;3;28;1;3;3;6;;89;;;1;14;20;1;52;10;22;1;3;7;1;;3;3;2;2;2;1;8;1;;;;1;3;;;;2;2;2;1;16;4;;1;1;1;4;1;8;;4;;;;1;;;3;1;15;;9;4;3;1;3;3;3;1;2;1;1;;;4;;;1;7;2;5;2;;;3;2;;;1;2;;;;13;3;;6;4;2;;2;1;;3;1;5;4;1;1;;2;2;4;3;20;2;7;1;4;2;1;1;;4;3;3;;8;;8;4;3;2;2;1;1;1;16;1;1;7;1;5;1;4;;;;3;1;1;1;3;1;1;
31728-4114;1;8;;4;13;8;11;63;2;;5;4;12;7;14;2;;1;1;23;3;1;;;;;;;2;2;1;1;1;;2;7;4;2;1;1;1;1;5;1;;2;1;1;3;;3;;;;;;;;1;;4;6;;2;;;;;;;;15;3;1;2;;;;;;;;;;;;1;;;;;1;2;;;1;;;;;;;;;;3;;4;1;1;3;;1;;2;;6;1;2;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;1;1;;2;5;;1;2;1;
34011-6402;1;3;;;1;2;;18;1;;;2;3;;26;5;12;;1;1;;;1;1;;;;;1;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;6;;3;;;;1;1;;;;;;1;;1;;;;1;;;;;;;;;;;;1;;;2;1;;1;;;;;;;;;;;;;;;;;;5;;;;;;;;;1;1;;;5;1;;;;;2;;;;2;1;;;;;;;;;;1;;;;;;;
40010-6400;2;12;;2;30;6;;125;5;16;;61;55;;46;15;29;1;2;19;3;;2;2;1;1;1;3;4;2;;;;;1;15;6;4;2;1;3;;11;2;;4;1;;6;;38;;26;3;6;3;1;;1;3;;24;2;11;6;3;3;5;4;4;2;;3;3;5;16;11;4;2;2;17;2;9;4;3;;2;;;;;7;1;;1;35;5;2;10;5;2;1;1;;;1;1;5;;2;;;;2;6;3;17;2;10;1;5;4;3;3;3;6;5;2;;12;;8;5;4;1;5;3;1;1;11;4;2;5;4;4;4;1;1;;;2;9;;3;1;3;3;
