aluno;1>;2>;3>;4>;5>;6>;7>;8>;9>;11>;13>;14>;16>;17>;28>;29>;30>;31>;32>;33>;34>;36>;37>;38>;39>;41>;42>;46>;47>;48>;49>;2>14>;6>6>;7>5>;7>14>;8>7>;9>11>;11>9>;14>2>;14>7>;14>8>;14>11>;14>14>;14>14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>31>;14>31>31>;14>31>48>;14>32>;14>32>31>;14>38>;14>38>14>;14>38>33>;14>41>;14>41>41>;14>48>;14>49>;16>31>;16>31>30>;17>30>;17>31>;17>31>31>;29>48>;30>14>;30>14>31>;30>14>31>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>31>30>31>;30>31>30>31>30>;30>48>;31>14>;31>14>31>;31>14>31>30>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>30>48>;31>31>;31>31>30>;31>31>31>;31>32>;31>41>;31>48>;31>48>29>;31>48>30>;32>14>;32>31>;32>31>30>;34>36>;34>36>37>;34>37>;34>38>;36>34>;36>34>37>;36>36>;36>36>34>;36>37>;36>38>;37>34>;37>36>;37>38>;38>14>;38>14>31>;38>33>;38>36>;39>38>;41>14>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;48>13>;48>14>;48>29>;48>30>;48>30>30>;48>31>;48>48>;49>14>;49>48>;
32995-4428;;4;;;;;;;;;;35;;2;;;1;15;;3;2;5;2;9;;10;;;;;;1;;;;;;;4;;;;14;1;4;10;4;;;;;5;;;;1;1;;5;;;;;;;2;1;;1;1;;;;;;;;;;;;;8;5;;2;1;1;;;;;;;;9;1;1;;;;;;;;;2;1;;;1;;3;1;1;;2;;;4;1;;1;;1;;;2;;;;;;;;;;;;;
31470-4224;2;10;;;9;;7;;1;2;;53;1;4;2;;18;30;2;3;3;7;2;11;2;37;;2;;2;2;1;;6;;;1;1;3;4;;;1;;1;10;1;5;;1;;1;;1;;4;;2;15;;;;1;1;1;3;;;4;1;;3;1;2;1;1;1;2;;;;;4;1;1;2;14;2;1;;;1;;;;1;1;;;;;;;1;;;1;;2;;3;2;;;;1;;;;2;1;3;3;;;2;2;2;;1;;;1;;;;;;1;;
35659-6547;;2;;;;1;3;;1;2;;29;2;4;;;7;18;2;2;2;3;2;4;1;6;;;;2;1;;;;1;;1;1;1;2;;2;1;;;10;;2;;;1;1;2;;;2;1;1;2;1;;1;1;;1;3;;;1;;;3;1;3;2;1;;1;1;;;;1;;;;5;;1;1;1;1;1;;;4;2;;1;;2;;2;;2;;1;1;1;;2;1;1;1;1;;;;1;1;;1;1;;;;;1;;;;;;;2;2;;;;;
27770-4224;;1;;;1;2;3;;;;;6;;;;;1;4;;;;;;;;1;;;;;;;1;;;;;;;2;;;;;;2;1;;;;;;;;;;;;1;1;;;;;;;;;;;;1;;;;;;;;;;;1;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;
31734-4428;1;4;;;;1;1;;1;2;;18;4;4;;;18;26;;4;4;8;3;8;;25;;1;;5;;;1;;;;;1;2;;;;1;;1;3;;1;;1;;1;;;;2;;1;1;;;;4;2;;4;4;;;;;5;;3;3;1;1;2;1;1;1;1;1;;;;10;;3;2;2;1;1;1;1;7;2;2;;2;2;;1;;;;1;1;;3;2;;3;1;3;;2;;;1;;2;;;;4;1;6;2;1;;;;;1;;;;;;
15735-5786;;1;;;;;1;1;1;2;;37;2;9;1;;29;36;1;3;2;2;2;5;;31;;1;3;21;4;;;;;;;1;1;;;1;16;3;7;18;1;6;;1;;2;2;1;1;1;1;;10;3;;1;2;;6;2;;;3;1;;7;;3;1;1;;4;2;;;8;2;2;;;19;1;4;2;1;3;1;;4;4;2;;;;5;;1;;1;;1;1;1;;;;;;1;1;;1;1;2;1;3;;;1;5;3;8;1;1;;;2;;3;1;2;3;;1;
31856-4429;1;13;1;4;2;2;3;;1;2;4;85;7;12;;10;61;66;2;6;5;14;3;14;6;23;2;1;3;27;2;2;;1;1;;;1;7;2;;2;10;2;2;32;1;8;;6;;5;5;;;3;1;1;10;1;2;2;7;3;3;9;1;1;10;1;1;34;3;20;10;6;5;7;1;;;1;6;2;1;2;28;2;16;8;3;;;;;10;7;1;;2;12;6;4;1;1;;2;1;;3;2;;2;1;2;1;2;;;1;;6;4;3;2;3;1;4;;3;1;4;3;7;5;3;1;;;2;
30698-4429;;2;;;;2;4;1;1;1;;33;1;2;1;;12;24;9;4;3;4;3;8;;13;;;;2;;;1;;2;;1;1;;3;;;;;;11;3;1;;;;;;;;2;;1;8;3;;;1;;;2;1;;;;;4;;2;;;;5;3;1;;1;3;1;;1;7;;;;;5;3;1;1;2;1;1;8;;1;;1;4;1;1;1;1;1;1;2;1;1;;2;;1;;;2;1;4;;;;1;1;3;1;;;;;;2;2;;;;;
30753-4429;;4;;;;;3;;1;4;;42;2;2;1;;13;21;1;5;5;5;5;10;;16;;;1;3;;1;;;2;;1;;1;1;;2;1;;;8;1;2;;;;;1;;;4;;2;8;2;1;;2;1;;2;;;2;;;6;1;4;1;1;1;1;1;;;;4;2;1;2;8;;5;3;1;;;;;2;;;1;1;1;;;;;;2;1;3;;2;2;;;1;;1;;2;;;4;1;;;3;2;8;3;3;3;;;;;;;1;;;
31256-4429;2;7;1;;1;;3;2;1;4;;65;3;3;;;25;45;4;4;3;18;3;9;;36;;2;;2;;1;;1;;2;1;;2;;1;1;1;;;14;5;4;;;1;1;;2;1;4;;;14;2;1;;3;2;2;1;;;2;;;6;;3;2;1;;4;2;;;;6;3;1;2;19;2;4;3;2;4;2;;;2;;;1;;;;;1;1;1;2;1;;1;2;;2;;2;1;1;1;1;1;1;3;2;;;1;1;5;;2;2;;2;;;;;;;;
32892-4428;;;;1;;;;;;1;1;8;7;8;;1;24;28;;1;1;1;;3;;14;;;2;14;1;;;;;;;;;;;;;;;7;;3;;;1;1;1;;;;;;1;;;1;5;1;5;2;;;1;;;6;;6;2;1;2;7;4;1;;6;;;;;17;1;4;4;1;5;2;;3;4;3;1;;2;4;;1;;;;1;;;;;;;;;1;;;;;;1;;;1;1;1;2;;;;;;1;7;1;2;4;;1;
18200-6547;;2;;;;;;;1;10;;61;4;3;1;3;24;41;1;1;1;8;1;6;;18;;;;6;;;;;;;;1;2;;;7;3;;1;26;2;11;1;2;;3;1;;;3;1;;10;1;;;4;;2;1;;;5;1;1;6;2;4;2;2;;1;1;;;;4;;;1;15;3;4;1;;;;;;3;1;1;1;;6;1;4;;1;1;;;1;;1;1;1;1;;1;;1;;3;1;;;;;3;;2;;;;;;3;4;2;1;2;;;
31417-4429;1;9;;1;;;;1;1;5;;33;2;2;1;;10;20;5;;;;;1;;4;;1;;7;3;;;;;;;1;3;;;2;4;;1;9;;1;;;;3;;2;2;;;;1;;;2;2;;;2;;;2;1;1;3;;1;1;1;;;;;;1;;;;;4;1;1;1;1;;;;;4;1;1;3;1;1;;1;2;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;1;1;
15183-5786;;1;;;;;;;1;2;;29;;4;;;4;11;2;5;5;8;5;13;;8;;;1;3;1;;;;;;1;1;1;;;;1;;;4;;;;;;1;;;;7;1;1;4;2;;1;;;1;3;;;;;;;;;;;;1;;;;;3;;;;3;;;;;;;;;1;;1;1;;;;;1;1;1;3;3;2;;2;2;1;1;3;;;;2;1;;5;2;;2;1;;4;;1;1;;1;;;;;1;;1;
33165-4428;3;8;;3;;6;6;2;2;7;2;130;3;4;1;7;39;58;11;6;6;13;5;22;2;66;1;3;2;16;6;4;;;3;1;2;1;4;1;;2;10;1;;26;5;7;2;3;;3;2;8;7;6;1;1;15;3;;2;3;;2;2;1;;9;3;2;10;1;5;2;;;;;;;2;16;9;2;;17;5;4;2;1;;;;;4;1;;1;2;3;1;;1;9;6;1;;3;1;5;3;;;;;1;1;2;4;;4;4;;;2;1;11;1;2;;1;4;6;3;1;;5;1;3;
24303-7111;1;3;;;;;;;1;1;;15;1;5;;;3;10;;1;1;6;1;3;;15;;1;;;;1;;;;;;1;;;;;;;;3;;1;;;;;;;;;;;6;1;;;1;;1;4;;;1;;;;;;;;;;;;;;1;1;;;3;;;;;;;;;1;;;;2;;;;;;;;;1;;1;1;;;;1;;1;;1;;1;;;;2;2;2;1;;;;;;;;;;;;
31569-4224;1;5;;5;5;15;11;10;1;3;4;65;2;1;;44;13;42;6;5;4;8;4;9;1;37;1;1;5;54;3;2;1;4;1;8;1;;3;2;4;1;4;;1;25;2;2;1;;;4;9;2;2;4;1;;8;2;4;1;2;1;;1;;15;5;2;;3;2;2;2;;;2;1;;;4;5;2;;;6;1;3;2;2;1;1;;1;4;1;2;2;1;16;15;;;5;;2;1;2;;2;2;1;1;1;1;2;;1;4;1;3;;1;1;1;;7;1;3;;1;5;41;1;1;5;6;2;2;
31288-4429;;2;1;;5;15;6;;1;4;;46;4;7;;;43;43;;4;3;10;2;7;;31;1;;1;5;1;;8;4;;;1;;;3;;1;2;;1;10;;7;1;1;1;;;;;4;1;2;14;1;1;1;4;3;2;5;2;;3;;;13;2;6;4;1;2;8;5;2;2;;3;;;;24;1;6;4;3;5;4;2;;2;;2;;;;;;;;;1;1;1;1;2;1;3;1;1;;;;;3;1;3;1;;;;;3;;;;;2;;;;1;;1;1;
31539-4429;1;5;;;5;14;12;1;1;20;;86;2;6;2;2;22;44;1;7;7;14;5;21;;41;;1;;6;;;3;5;2;1;1;;4;9;1;9;1;;;19;;5;;1;1;4;1;;;5;;;13;3;;;2;1;1;5;1;1;3;;;6;1;2;2;1;;2;;;;;3;1;;;9;;4;2;2;1;;;;6;1;2;1;1;2;2;;1;;;1;1;2;3;5;2;5;2;3;2;2;2;1;5;3;4;2;;;4;;11;1;4;2;;;2;;;;;;;
32935-4429;1;6;3;;;;;;1;2;;16;;1;;;;3;;2;2;2;2;4;1;8;1;1;;1;;;;;;;1;1;1;;;1;1;;;1;;;;;;;;;;1;;;2;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;1;;;;;1;;1;;;2;;;;;;3;;3;;;1;;;;;;;;
31390-4429;;1;;;;;;;;;;11;1;;;1;16;13;1;;;;;;;8;1;;;3;;;;;;;;;;;;;1;;;3;;2;;;;;;;;;;;1;;;;1;;;;;;1;1;1;7;;;;;1;1;1;;;1;;;;;8;;4;;;;;;1;2;2;2;;1;1;;1;;1;;;;;;;;;;;;;;;;;;;;;1;;5;1;1;1;;;1;1;1;1;;;;
24295-4224;1;6;;;;;4;1;1;4;;29;4;3;1;;14;34;;3;2;2;2;7;;14;;1;;4;;1;;;;;;1;1;2;1;1;1;;1;12;2;2;;;1;2;;;;2;;2;2;2;;;4;1;;3;2;;;;;3;;1;;;;2;;;;1;6;3;;;8;;2;;;1;;;1;8;1;2;;;2;;;;;;;;1;1;;;1;;1;1;1;1;;2;2;3;;;;3;;7;1;4;2;;1;;1;;;;;;
31885-4428;;2;5;3;;;1;1;1;2;;38;2;1;;8;6;23;1;4;4;6;2;16;5;20;3;;;10;2;;;;;;1;1;2;;;1;11;5;;8;2;1;;;;3;1;;;5;1;2;7;3;;1;2;;1;;;5;;;;1;;;;;;2;;;;1;4;1;;3;2;;;;;;;;1;7;;;;5;7;5;;;1;1;2;;1;1;2;1;1;;;1;1;;;3;1;3;;3;2;5;;6;3;1;1;;2;8;1;;2;5;1;1;
31546-4224;1;4;;1;;;1;1;1;2;;55;4;1;;4;9;24;3;2;2;2;1;6;1;16;;2;;8;2;;;;;;1;1;1;;;2;3;;;9;1;;;;;;2;;;3;1;1;5;1;2;;4;1;;1;;2;3;;;2;;2;2;;;4;2;;;;3;;;;5;3;1;1;1;;;;;;;;2;;3;1;1;1;1;;1;1;;1;2;;1;1;1;;;;1;2;1;1;1;;;2;1;3;1;1;;;2;4;1;;1;2;2;;
31743-4429;;3;;3;;16;5;2;;;5;37;4;8;3;2;33;30;3;6;5;13;7;11;;19;;;3;14;;;5;;;1;;;3;3;;;3;;;4;;;;;;1;;;;2;;1;2;;6;;4;3;7;1;;;2;;;9;;3;2;1;1;3;2;;;1;;;;;14;2;3;2;2;2;1;;;3;2;;1;1;1;;1;;;;;;3;2;5;3;9;4;;;;2;2;;;4;2;;;2;1;5;1;1;;3;;2;1;;1;2;;;
31360-4428;;;;;;;;;1;2;;15;2;;;1;5;9;;3;3;16;2;9;;8;;;;4;1;;;;;;1;1;;;;1;;;;2;;;;;;;;;;5;;2;1;;;1;2;;;;;;;;;1;;;;;;;;;;;2;1;;;2;;;;;;;;;;;;;1;1;1;;;;;1;;2;;3;2;3;1;;1;;;;;;3;2;;;;;4;;1;;;1;1;;;;;;1;
35677-5786;;1;1;;;;1;1;1;5;;41;;4;;;28;39;;1;1;2;1;7;1;24;1;;;16;;;;;1;1;1;1;;;;1;3;;1;14;;8;;;6;1;;;;3;1;1;15;3;;;;;1;3;;;1;1;1;8;;2;;;3;16;10;5;5;5;8;2;1;2;24;1;7;2;;15;9;5;3;2;1;;;;4;;3;;;;;;;1;1;;;;;;;1;;4;1;1;;;2;5;2;5;1;2;;;2;;4;1;3;;;;
31135-4429;1;4;;;;;3;3;;1;;26;3;9;1;;22;23;2;1;1;1;;5;;7;1;1;;4;;;;;;2;;;2;1;2;;;;;13;1;2;;;1;1;;;;2;2;;;;;;3;1;7;2;;;;;;4;;1;;;2;3;1;;;1;2;1;1;;7;;1;1;;1;;;;4;;2;;;;;;;1;1;1;;;;1;;;;;1;;;;4;3;1;;;;;;2;;;;;;;2;1;;1;;;
31751-4429;;;;;;;2;;;;;34;2;;1;7;8;28;;5;5;7;3;11;;25;;;;10;;;;;;;;;;2;;;2;;1;12;;1;;;;;1;;;2;;;9;1;;;2;;;;;1;2;1;;2;1;;;;;1;;;;;4;1;1;;4;1;;;;;;;;1;;;;1;6;4;;;;;1;;2;1;2;1;;;;1;;2;1;1;1;4;2;;;;;2;;1;;;;7;1;1;3;3;;;
27769-4429;;;;;;;;;;;;6;;;;;3;3;;;;;;1;;10;;;;1;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;1;;;;;1;1;1;;1;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;1;;;;;;;;3;;;;;;;1;1;;;;;
30698-6019;;;;;;;;;;;;6;2;;1;1;1;5;;;;;;;;;;;;1;2;;;;;;;;;;;;1;;1;3;;;;;;;;;;;;;;;;;2;1;;;;;;;;1;;;;;;1;;;;;1;;;;1;;1;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;
31891-4429;;2;1;;;;1;;;;;32;2;8;;1;24;35;6;3;3;4;3;5;;18;2;;;10;;;;;;;;;1;;;;3;;;12;;2;;;;1;3;;;2;;1;6;;2;;2;;5;3;;;1;1;;4;;3;1;;;1;1;;;4;3;;;;13;;2;2;;;;;2;5;3;;1;;4;;4;;3;1;;;3;;2;2;;;;1;;1;1;;;3;;;;2;1;2;;;;;;1;4;1;;;;;
31489-6019;1;11;;;;;;;1;5;;54;3;11;1;;33;45;;4;4;10;3;9;;7;;2;;5;1;;;;;;1;;2;;;1;1;;;20;;10;;3;;2;1;;;4;;2;1;;;1;3;;7;4;;;1;;;9;1;4;3;3;2;5;2;;;1;3;;;;21;;6;2;1;;;;;3;1;;;;2;;2;;;;2;2;1;1;4;1;3;1;2;;;;1;2;;4;;;;;;;;;;;;;2;1;1;1;;1;
31853-4224;;3;1;;;7;5;4;1;3;;65;7;14;;4;22;41;4;3;3;4;2;12;2;37;2;;2;18;6;1;3;;1;2;1;;3;1;3;3;2;;;20;2;5;;1;;4;5;1;;4;;1;12;1;4;1;6;1;7;7;;1;2;1;1;6;2;1;1;;;2;;;;3;7;1;;;12;;2;;;2;;;2;6;3;1;2;1;9;3;;2;;;;;1;2;2;1;1;1;1;;1;;1;3;1;2;1;;;4;1;6;2;1;1;;8;4;2;1;;2;5;1;
31357-4224;;3;;2;;2;3;;1;2;;26;3;;;7;3;29;;4;3;7;3;10;;34;;;;13;;;1;;;;;1;1;;;2;;;;3;;1;;1;;1;1;;;1;;;7;5;;;3;;;;;;;;;3;;3;1;1;;;;;;;;;;;1;;1;1;1;;;;;3;;1;;5;7;;;;;;;;1;1;1;;1;;1;2;1;2;;1;1;4;1;;2;5;;14;3;6;2;;;5;1;1;;6;;;
31434-4429;;3;;1;;;1;;1;2;;17;2;2;;1;21;14;1;3;2;2;2;3;;3;;;;3;;;;;;;;1;1;;;2;;;;8;;7;1;2;;;1;;;;;;;;;;2;1;1;1;;1;2;1;1;8;;4;3;3;2;2;2;;;1;3;3;3;;12;1;4;3;2;;;;1;4;2;;;;1;;1;;;;;;1;;1;1;2;1;1;1;1;;1;;;3;1;;;;;1;;;;;2;;2;;;1;;;
