aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>2>31>;2>3>;2>14>;2>14>31>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;2>46>;3>2>;3>14>;5>5>;6>6>;7>5>;7>5>5>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>31>41>;14>32>;14>32>31>;14>32>31>30>;14>38>;14>39>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;16>31>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>2>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;34>38>;36>14>;36>34>;36>34>38>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
37448-5469;1;3;;1;4;3;;7;;;1;5;4;;1;;;1;;6;1;5;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;;1;1;;;;;;;;;;3;;2;1;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;;3;;;;;;1;;;;;;;;
31698-5714;3;17;;;;;;23;1;;;5;9;;;;;7;;15;3;1;;1;3;3;2;1;1;4;2;;;;;2;1;;3;1;1;;;;;;;8;2;;;;2;;;;;3;;1;;;;;1;;;;5;;2;;;1;;1;;;;;2;1;;;;2;1;1;1;;;;;;1;1;;;3;;1;1;1;;;;;1;;;3;;;;;;;;;;;;;1;;;4;2;;2;;2;5;;1;2;1;1;1;;3;;;;;;
31753-5714;1;16;;;;1;;40;;1;;13;17;;3;1;11;7;;38;1;3;4;1;;;;;;2;;;1;;;3;;;4;2;;;;;;;;7;2;;1;;3;;;1;4;7;;4;2;;;;1;;;;2;;8;1;;2;1;;1;;;2;;;;;;3;;1;;;;;1;1;2;;1;;9;;3;1;;;1;1;;;;;3;1;;;;1;1;;8;4;4;1;1;;2;2;1;2;2;3;3;3;8;1;1;3;2;;1;1;;;1;;2;2;
31543-6398;;3;;;;1;;9;1;1;;13;10;;;;;;;5;;1;;;;;;;;;;;;;;1;;;2;;;;;;;;;1;;;;;1;;;;;1;;1;;;;;;;;;;;;;;;;1;1;;;1;;;;;;3;;2;1;;;;;;1;;;;7;;2;1;1;;;;1;;2;1;1;1;;;;;;;;;;;;;;;;;;1;1;;1;;;1;;;;;;;;;;;
15073-5714;1;5;1;;;;;23;;1;;5;7;;1;1;12;6;1;5;1;;;;1;1;;;;;;1;3;1;;;;;;;;;1;;;;;5;;3;;;;;;;;7;2;3;;;;;;;;;3;;5;;;3;;;1;1;;;3;1;;;;;;;;;;;1;;;;;4;3;;;;;;1;;;;;;;;;;;;1;;8;4;3;2;1;2;1;2;;1;1;;;;3;1;;;;;;;1;;;;;;
35642-5469;2;10;1;1;;2;;31;2;4;;17;20;1;2;1;1;3;1;23;2;5;1;2;;;1;;;1;;1;;;;3;2;;4;;2;;1;1;;1;;2;;;1;1;1;;;;1;9;;4;3;2;1;3;;;;;;;5;;1;2;;2;4;;1;1;2;;;2;2;6;;3;1;1;;1;2;2;;3;;;13;2;5;2;1;1;;;;3;4;3;4;1;;;1;;;;;;;;;;1;1;;2;;2;1;;7;;;;;;2;2;;;2;;;;
31095-7274;;6;;;;;;19;1;;;6;10;;;;;;;7;;;;;;;;;;3;1;;1;;;3;1;;1;1;;;;;;;;3;2;;1;;;;;;2;;;;;;;;;;;;;;2;;;1;;1;;;;;2;1;;;;2;1;1;1;1;;;;;;;1;1;4;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;3;;;2;2;;;;;;;;;;
36453-5468;1;15;12;4;;4;5;21;;;4;7;8;6;;;;3;4;4;1;21;;;1;1;1;1;1;4;;2;;;;;;;;;;10;2;1;;4;1;2;;;;;;10;7;1;5;;;;;;;;;3;3;2;;1;1;;;;;;;;;;;;;;;4;;2;;;;1;1;1;;;;;6;;3;2;;;;;;;4;3;;;6;2;;;;;;;;;;;;;;1;;;;;1;;;1;;;;;1;15;;9;;;
31543-5468;;1;1;;;1;;8;;3;;6;6;;;;;;;11;;1;;;;;;;;;;;;;;1;1;1;1;1;;;;;;;;1;;;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;3;;2;;;;;;;4;;1;;;;1;2;1;;1;;1;2;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;3;;;2;;1;;;;;;;;1;;;;
21640-5714;;;;;;;;1;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
32853-5468;1;5;12;;;1;;27;1;1;;6;5;2;;;;1;;5;1;3;;;;;;;;;;;1;;;;;;1;;;2;1;;;;;2;;;;;1;11;2;1;1;3;;1;1;1;1;;;1;1;;1;;3;1;;;;1;1;;;;1;1;;;;4;;3;2;1;;;;;;;;1;2;1;1;1;1;;;;;;;;;2;2;1;;;;;;;;;;1;;;;2;;;;;1;;;;;;1;;;;3;;;;
28350-6398;;10;;;;1;;21;;;;7;7;;1;;;2;;17;;;;;;;;;;;;;;;;2;1;;2;1;;;;;;;;1;;;;;;;;1;;1;;;;;;;;;;;1;;7;;;3;1;;;;;1;;;;;;2;;2;1;1;;;;;;;;1;2;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;1;3;;2;1;;7;2;2;2;1;1;;;;;;;;;
32853-6398;;2;3;;;;;7;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;3;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29887-6398;1;12;2;1;;1;;33;1;;;6;11;;2;2;7;5;;35;1;;;1;;;;;;3;;;1;;1;;;;2;1;1;1;1;1;;1;1;3;2;;;;;1;1;1;;3;;;;;;;1;;;;2;;8;;1;4;;1;;;;;1;;;;;;;;;;;;;;1;;;;3;;;;;;;;1;;1;;4;;;;2;2;1;1;3;2;1;1;;;2;2;2;;1;4;1;1;12;;3;5;4;3;1;1;;;;;;;
34559-6398;;1;1;;5;2;1;11;1;;;3;6;1;;;;;;5;;1;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;1;2;;1;;;;;;1;1;;;;1;;;;;1;;;;;1;;;;;;;;;;;;2;1;;;;;3;1;;;;;2;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
24676-6388;1;11;;;;1;;21;1;5;;10;16;1;;;;1;;14;1;2;;;1;1;1;1;1;2;;;2;1;;1;1;;4;3;;;;;;;;4;1;1;1;1;;;;1;1;8;1;5;;;;1;1;;;;;;4;1;1;1;1;1;4;1;1;;3;;;2;2;3;1;2;1;1;1;;4;2;3;2;;2;9;1;1;1;1;1;4;2;2;2;2;1;4;;;;;;;;;;;;;;;;1;3;2;4;2;1;6;1;;4;2;2;;;1;1;1;;;;
36141-5469;2;10;4;;;;;18;;;;5;5;;3;2;4;5;;7;2;;1;2;;;1;;;2;;1;2;;;;;;1;;1;1;2;;;;;3;;;;;1;1;;;;3;;3;1;;;;;;;;;;4;1;;;;;;;;;;;;;;2;;1;1;;;1;1;;;;;2;4;;1;;;;;;;;;;;;;;2;;2;1;2;1;;;;2;2;2;;2;;;;;1;;;;;;2;2;;;;;;1;
22946-7274;;11;;;;1;;22;1;3;;16;14;;1;1;1;3;;3;;4;;;;;;;;2;1;;2;;;3;3;1;2;;;;;;;;;7;1;1;1;1;1;;;;1;7;;5;1;1;1;1;;;;;1;;2;;1;;;1;3;1;;3;2;1;1;3;3;4;;4;4;2;1;;;;;2;;1;11;1;3;3;3;2;;;;;1;;;2;;;1;;1;1;1;1;1;1;;1;1;;;1;;1;1;1;;;;;;;;;;1;2;;;;
35030-5468;;6;;;;1;;7;;;;2;2;;;;;;;2;;1;;;;;;;;;;;1;;1;;;;1;;;;;;;;;5;;1;;;;;;1;1;1;;;;;;;;;;;;;1;;1;1;;;;;;1;;;;;;;;;;;;;1;1;;;;1;1;;;;;;1;1;;;;;;1;;;;;;;;;;;;;;;;1;;2;1;;1;1;;;;;;;;;1;;;;
35904-5714;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18081-5468;2;8;2;;;;;25;1;1;;11;11;;;;;1;;9;1;2;1;2;1;1;2;1;1;2;2;1;;;;3;3;2;3;1;1;1;1;;;;;5;1;;;;2;;;;;6;;5;1;;;;;;;;;;3;;;;;1;1;;;1;;;;;;3;;;;;;;;;1;2;;;10;;3;;;;;;1;1;;;;;;;;;;;;;;;;;;;;1;1;;;1;2;;;2;1;1;1;1;1;;;;;1;
27916-5714;1;7;3;;;;;10;;;;2;3;1;;;;;;7;1;;;;1;1;1;1;1;;;;3;;2;;;;1;;;3;;;;;;2;;;;;1;;;;1;2;;1;;;;;;;;;;;6;2;;1;;;;;;;2;;2;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;2;;;;;1;;;;;;;;1;;;;;;
36384-7098;;22;;;;3;;23;1;5;;32;28;;2;1;10;8;;33;;1;;;;;;;;3;;;;;;7;3;;3;;;;;;;;;4;;;1;1;;;;;2;1;;;;;;;;;;;;;3;;;;;;5;;1;1;2;;;;;3;;;;;;;2;2;3;;2;;16;1;;;;;1;1;2;;2;2;3;;;;;;1;;3;;;;1;;1;1;4;4;;;;;5;;;2;1;;;;;;;;;;
36520-5714;;1;;;;;;4;;;;1;1;;;;;;;1;;;;;;;;;;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
27383-7098;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32011-5468;2;16;13;1;;1;1;27;1;;;7;11;10;1;;;2;6;10;2;;;1;1;1;2;1;1;;;2;3;;;;;;;;1;12;1;1;;1;1;;;;;;;9;8;;2;;;;;;;;;8;6;3;;6;1;;;;;1;;;;;1;;;;;;;;;;;;;;;;;2;7;1;;;;;;;;;;;1;;8;5;;;;;;;;;;;1;;;;;1;1;;2;;1;2;1;1;1;1;1;;;;;;
23038-6398;3;19;;;;2;;41;1;;;5;8;;4;3;25;11;;19;3;2;1;2;1;1;;;;2;;;4;1;;;;;6;;2;;;;;;;7;1;1;;;;;;1;;3;;1;1;;;;;;;;2;;7;1;;1;;1;;;;1;1;;;;;2;;1;1;1;1;;;;;;1;;4;1;1;;;;;;;;1;;1;1;;;2;2;3;2;4;;;;;2;3;1;1;2;;1;;3;4;;;1;1;;2;2;1;;1;1;;1;
36483-5468;1;14;;;;;;65;2;12;;36;34;;3;2;6;8;;15;4;4;3;;1;1;1;1;1;2;1;;4;;;7;7;7;;;;;;;;;;10;1;3;4;4;;;;;9;18;;13;12;6;1;1;;;;;4;;10;1;2;5;3;2;9;6;;;17;2;1;8;8;27;8;17;5;2;2;1;1;1;2;;2;2;27;1;25;15;4;2;;;;;2;;1;;;;;;;;;;;;2;2;3;;1;2;;4;3;;8;1;2;5;2;1;;;1;;1;1;2;2;
32022-5468;2;12;;;;1;;28;;6;;22;17;;3;1;5;4;;15;2;3;2;2;1;1;1;;;3;2;;2;;;3;2;;2;;2;;;;;;;9;2;1;1;1;2;;;1;;9;;5;1;1;1;1;2;;;;;;3;;;1;1;;6;;;;1;;;;;5;;2;1;1;1;1;4;4;;;;;13;1;3;1;1;1;;;;;1;1;2;;;;;;1;;2;1;;;1;;;2;2;1;;2;1;1;5;1;2;4;3;;1;1;1;;;;2;2;
31693-7274;2;9;;;;;;25;1;6;;18;17;;;;;;;5;2;4;;;2;2;2;2;2;;;;2;1;;2;2;;1;1;;;;;;;;7;;1;1;1;1;;;;1;7;4;4;1;1;1;;;;;;;;1;;;;;1;6;1;1;;4;1;;;;5;2;1;1;1;1;;1;1;;3;;4;11;1;2;1;1;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;2;;;1;;;;;2;3;;;;;
18900-7118;;15;;;2;5;;22;3;3;;16;18;;;;;2;;29;;10;;;;;;;;3;3;;;;;5;1;1;3;2;;;;;;;;3;;;1;;1;;;2;;3;;2;1;;;;;;;;;;;;;;;3;3;;;;;;;;;7;;4;4;4;3;;;;1;2;5;;4;;2;;;;;;;;2;;2;1;;;;;;;;;;;;;;;2;4;;2;;1;10;;1;6;4;3;;;;1;;3;;;
18297-6388;1;5;1;;;;;13;;1;;2;4;;2;;1;2;;9;1;;;;1;1;1;1;1;;;1;1;;;;;;1;;;;1;;;;;3;;1;;;1;;;;;1;;;;;;;1;;;;;;2;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;2;;;;;;;;2;;;1;;;;;1;;;;;;
35892-5469;;10;2;3;;4;;38;1;;2;10;15;5;1;1;8;5;;24;;10;2;;;;;;;2;;1;4;1;2;1;1;1;1;;;2;;3;;3;3;5;1;1;;;;;;2;;4;1;2;2;2;1;;;4;3;2;1;;8;;1;1;1;1;;;;1;2;;1;;;5;1;3;2;2;1;;;;1;1;;2;7;1;4;3;2;2;;;;;1;;;2;4;2;1;2;;;;;;;;;1;2;;;3;2;;;7;;1;2;1;;;;;1;1;3;1;2;
23953-5468;2;13;22;;3;2;;65;1;1;;11;12;10;1;1;8;6;4;29;2;3;2;1;1;1;1;1;1;2;;2;1;;;1;;;3;;1;7;2;;1;;;3;;;;;1;14;3;;4;1;;;;;;;;5;3;;5;3;7;;;2;;1;1;;1;;1;;;;;4;;3;2;;;;1;;;;;2;4;;2;2;2;;;;;;1;1;;1;5;1;1;;1;1;4;1;1;1;;2;1;2;;1;;;;2;7;;;4;1;1;1;1;1;;1;;1;2;
27383-5468;2;10;;;;;;7;1;;;2;3;1;;;;;;1;2;;;1;1;1;1;;;2;;;2;;;1;1;;;;1;;;;;;;5;1;1;1;1;;;;;1;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
36152-7098;;2;;2;;2;;12;;1;;4;4;;1;1;6;4;;15;;;;;;;;;;1;;;;;;;;;;;;;;2;;2;2;2;1;;;;;;;1;3;3;;2;;;;;;;;;;;3;;;1;;;1;;1;;;;;;;2;;1;1;1;1;;;;1;;;;3;;1;1;1;1;;;1;;;;;;;;1;;1;1;1;;;;;1;1;1;;;;;;;4;;;;;;;;;;;;;;
35030-6388;1;3;;;;1;;8;1;;;5;5;;1;1;22;2;;2;1;3;;;1;1;1;1;1;2;1;;1;1;;2;2;1;;;;;;;;;;3;2;;;;;;;1;;3;;;;;;;;;;;1;;1;;;;;1;;;;;;;;;;2;;;;;;;;;1;3;1;;3;;1;;;;;;;2;;;;;;;;;1;;16;11;6;6;1;;1;;;;1;;;;;;;;;;;;1;1;1;;;;
23038-7274;4;12;;;;;;25;1;1;;6;9;;1;1;4;5;;11;4;4;3;1;4;4;2;1;;4;;;2;;;3;3;;1;1;2;;;;;;;8;3;1;2;2;;;;;1;4;1;1;;;;;;;;;3;;3;1;;;;1;1;;;1;1;;;;;;;;;;;;1;1;2;2;1;1;5;1;;;;;1;1;2;2;1;;;;;;;;1;;;;;;1;1;1;;1;1;;2;1;;4;;;1;1;;1;1;4;3;;;2;2;
36051-5469;1;14;;3;2;4;1;51;1;;;6;13;;2;1;6;3;;34;1;4;;;1;;1;1;;1;1;;1;;;1;;;4;2;;;;2;2;3;2;8;;1;;;3;;;;2;6;;1;1;;;;3;;;;2;;16;1;1;2;;1;;;;1;2;;2;;;3;1;1;1;1;1;;;;1;1;;;5;;3;1;1;1;;;1;;;;3;1;;;;;;;6;4;2;2;1;;1;;;4;1;4;3;;5;2;1;;;;;;;1;;1;;;
18208-7098;;3;;;;;;22;2;2;1;8;11;1;1;1;5;8;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;1;7;1;3;2;;;1;;1;;;6;;1;;;;;2;2;;;;2;;;;;3;2;;;;;;2;;;;;2;4;;2;;;;;;;;1;;;1;;;;2;;;3;;;;1;1;;2;;;;;;;;;;;;;;;;;;;;;
22522-6398;1;8;2;;;4;;21;1;2;;16;15;;1;1;6;6;1;12;1;4;;;;;;;;;;;4;;1;;;;;;;1;1;;;;;7;;4;;;;;;4;1;12;1;11;1;;;;;;;;5;;7;;1;2;1;;1;;;;5;2;2;1;;2;1;;;;;;2;1;;3;;2;14;4;2;;;;2;1;;2;;;;;;;1;;1;1;1;1;;;;3;1;1;;;3;1;1;;2;;;1;;;1;;;1;;;;;
13298-7098;;;;;;;;9;;;;;2;;;;;;;10;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;1;1;;;;;;;;;;
36382-5469;;1;;;;;;4;;;;1;1;;;;;;;7;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;1;;;1;;;;;;;;;;1;;;;
