aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>2>31>;2>3>;2>14>;2>14>31>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;2>46>;3>2>;3>14>;5>5>;6>6>;7>5>;7>5>5>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>31>41>;14>32>;14>32>31>;14>32>31>30>;14>38>;14>39>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;16>31>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>2>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;34>38>;36>14>;36>34>;36>34>38>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
30961-7274;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18208-6389;;12;;;;;;20;2;6;;9;10;1;;;;;;2;;1;;;;;;;;3;;;2;1;;3;2;1;;;;;;;;;;7;1;;1;1;;;;;1;6;;3;3;2;1;1;1;1;;;;;1;;;;;2;6;3;1;;3;;;4;4;5;;3;2;1;1;;1;1;;;;1;6;;5;3;1;;;;;;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
33816-7274;;8;;;7;5;1;18;2;1;1;7;8;1;;;;2;;19;;4;1;;;;;;;2;1;;;;;1;1;;1;;;;;;;;;4;1;;;;;;;5;1;3;;2;;;;;1;;;;1;;1;;;;;2;1;;;1;;;;1;1;2;;;;;;;;;;;;;4;;1;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;1;2;;;1;1;;;;;;;;1;;
36028-5468;;7;;;;;;11;1;1;;4;5;;2;1;4;3;;3;;;;;;;;;;;;;1;;1;1;1;;1;;;;;;;;;5;;1;1;1;1;;;;;2;;2;1;1;1;;;;;;1;;1;;;;;1;1;1;;;1;;;1;1;1;;1;1;;;;;;;;1;;3;;1;1;1;;;;;;;;;;;;;1;1;;2;1;1;1;1;;2;;;;;;;1;;;;;;;;;;;;;;;
24676-7274;1;8;;;;;;14;;;;3;4;;;;;1;;8;1;1;;1;;;;;;;;;5;1;1;;;;1;;1;;;;;;;7;;5;;;1;;;;1;4;;2;1;;;1;;;;;1;;6;;;4;2;;;;;;;;;;;1;;;;;;;1;;;1;;1;3;;1;;;;1;;;1;1;1;;;;;;;;;;;;;;1;;;;2;1;;;;4;2;;2;2;1;1;1;;;;;;;
36030-6398;;6;;;2;3;;21;;;;3;3;;;;;;;24;;9;;;;;;;;1;;;;;;;;;3;1;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;12;;;6;3;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;1;;;;7;1;;3;3;1;;;;;1;7;;;
32885-5714;1;11;;;3;4;2;19;1;5;;14;12;1;;;;1;;16;1;1;;;1;1;;;;3;;;1;1;;;;;4;1;;;;;;;;3;2;;;;;;;;14;6;1;1;;;;4;;;;;;;5;;;2;;1;5;;;;;;;;;8;;3;1;1;1;;;;;;1;1;8;;6;2;1;1;;;;;7;5;;;;;;;;;;;;;;;;;;2;1;2;;;4;;;;;;;;1;;;;;;
36707-5714;;2;1;;;;;2;;;;1;1;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;1;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36228-5469;1;6;;2;;4;1;31;2;;;9;15;;1;1;5;3;;28;2;1;;1;;;;;;1;1;;1;;;1;1;1;;;;;;2;;2;2;3;1;;;;;;;1;2;5;;1;;;;;1;;;;;;4;;;;;1;;;;;1;;;;;7;1;4;3;3;1;;;;;;;3;7;;5;3;2;2;;;;;;;2;;;;1;;1;1;3;2;2;2;;1;1;;;1;;2;1;;7;;1;2;1;;1;1;;1;;;;;
36691-5469;1;8;1;;;;;24;1;3;;7;8;;1;1;2;4;1;13;1;3;1;;1;1;;;;;;1;3;1;1;;;;;;;;1;;;;;5;;2;;;;;;;2;3;;2;1;;;;;;;;1;;9;2;;1;1;1;3;;1;;1;;;2;2;4;;1;1;;;;2;1;;1;;2;4;1;2;1;;;2;1;;;1;1;;1;;;;;1;;1;1;1;1;1;1;1;1;;2;2;;;1;1;;;1;;;;;1;;2;;1;1;
36245-7098;1;12;;;;;;14;1;;;1;6;;;;;4;;;1;;;1;;;;;;6;2;;1;;;3;;;;;1;;;;;;;7;4;1;;;;;;;1;3;;;;;;1;;;;;1;;;;;;;1;;;;;;;;;;1;;1;;;;1;1;;;;2;1;;;;;;;;;;;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;1;;;;;;;
32989-5468;1;15;2;;;;;47;;1;;7;9;2;1;1;1;3;;36;1;;1;1;;;1;;;;;1;5;2;1;;;;2;1;1;2;;;;;;4;;;;;;1;1;;4;4;;3;2;;;;1;1;1;1;2;;18;1;3;2;;;1;1;;1;1;;;1;1;5;;4;3;2;1;1;1;1;1;;;1;6;;4;2;2;1;;;;;;;2;;2;2;1;;1;1;;;;;;;1;;;6;1;3;1;;7;3;;1;;;1;1;1;;;;;1;
36614-6388;;3;;1;;2;;13;;4;1;16;5;;2;2;4;3;;3;;3;;;;;;;;1;;;;;;;;;;;;;;1;;1;1;1;1;;;;;;;;1;3;;2;2;2;1;;;;;;2;;2;;;;;;3;;2;;;;;1;;12;;7;5;3;2;1;2;2;;2;;;4;;4;4;2;2;;;;;;;;;;;;;2;;4;4;4;1;2;2;1;1;;;;;;;1;;;;;;;;;;;;;;
28283-6389;;1;;1;1;1;;6;;;;1;1;;;;;;;3;;;;;;;;;;;;;1;;;;;;;;;;;1;;1;1;;;;;;;;;1;;1;;1;;;;;;;;;;;2;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;1;1;1;;;;;;;;;
22801-5468;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31478-5469;;5;;3;;3;;10;;;;6;6;;;;;1;;17;;;;;;;;;;1;;;;;;1;1;1;1;;;;;3;;3;3;1;1;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;2;;;;;;4;;4;4;3;1;;;;;;;;3;;2;2;2;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;2;;;7;;2;4;1;1;;;;;;;;;
31005-6398;;3;;;;;;10;;;;1;3;;;;;;;2;;;;;;;;;;1;1;;;;;1;1;;;;;;;;;;;2;1;;;;;;;;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;1;;;;;;;;;;;;
31563-6398;;19;2;2;4;8;1;46;1;1;;14;19;;2;2;6;11;;33;;4;1;;;;;;;3;;;5;;3;3;2;;2;1;;1;1;1;1;2;1;8;2;2;2;1;1;;;2;4;7;;5;1;1;;;;;;;4;;14;2;;5;2;1;1;;;2;2;;2;1;1;2;2;1;;;;;2;1;1;1;3;2;10;;1;1;;;2;1;1;;;;2;1;;;2;;2;2;2;1;1;;;2;2;3;1;3;4;2;2;1;12;;;5;1;;;;;1;;;;1;
28338-6388;;6;;;1;4;;35;1;3;;15;21;1;3;2;10;5;;6;;5;;;;;;;;2;1;;1;1;;1;1;1;1;;;;;;;;;4;2;1;;;;;;3;11;16;;9;3;2;2;;;;;;2;;3;;;;;1;2;;;1;1;;;;;4;;3;3;2;1;;1;1;;4;;3;11;1;4;3;3;2;1;1;;3;1;;;1;;;1;;1;1;9;5;4;3;1;;1;1;;1;;;;;1;;;;;;;;;;1;3;;;
36031-5468;;;;;;;;21;;;;1;1;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;
31005-5468;;5;;;4;1;;29;;;;6;8;;;;;1;;17;;;;;;;;;;;;;2;;1;;;;2;;;;;;1;;;3;;;;;2;;;;1;4;1;2;1;;;1;;;;;;;6;;;3;2;;;;;;4;1;1;;;1;1;;;;;;;;1;;;1;6;3;1;;;;;;1;;1;1;;;;;;;;;;;;;;1;;;1;1;2;3;3;1;7;;3;4;3;1;;;;;;;;;
31543-7274;;3;;1;;1;;9;;;;3;4;;;;;;;9;;1;;;;;;;;;;;;;;1;;;;;;;;1;;1;1;1;;;;;;;;1;;2;;1;;;;;;;;;;;2;;;1;;;;;;;;;;;;1;;;;;;;;;1;;1;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;5;;;3;2;1;;;;;1;;;;
36175-6388;;1;;;;;;11;;;;;;;1;1;6;4;;13;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;4;4;3;1;1;;1;1;;;;;;1;3;;;;;;;;;3;;;;;
35904-5469;;6;;;;;;14;;1;;6;5;1;;;;;;10;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;4;;;;;;;;;;5;;4;;;;;;;;;;;4;1;;1;1;;1;;;;1;;1;;;;;;;;;;;;;;;;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;3;;;1;1;1;;;;;;;;;
32282-5469;1;7;9;;;1;;18;;;;;1;;;;;;;12;1;2;1;;1;1;1;1;1;1;;;3;;2;;;;;;;6;;;;;;1;1;;;;;8;4;;;;;;;;;;;;;;;;7;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;2;2;;;;1;1;;;;;
28149-6388;;5;;;10;2;;33;1;4;;7;10;;3;3;18;7;1;33;;1;;;;;;;;1;;;4;;2;;;;2;1;;;;;9;;;3;1;;;;1;;;1;1;6;;4;1;;;1;;;;;3;;17;1;1;4;;1;3;2;;;3;1;1;1;1;1;1;;;;;;1;1;;;;1;5;;1;;;;1;1;;;1;;1;;;;3;2;3;3;12;8;5;2;;3;3;1;1;1;2;1;;1;7;;;1;;;;;;1;;;;;
36196-5388;2;15;14;1;;1;;40;1;1;;7;6;1;1;;7;4;12;20;3;;;;2;2;2;1;1;4;;1;2;;1;;;;2;1;1;4;3;1;;1;1;4;1;;;;;5;1;;3;1;;1;1;;;;;1;;;;10;10;1;;3;1;1;;;;;1;;;;;2;;;;;;;;;1;;;;4;;1;;;;;;;;;;;;;;;;;;1;;;;;1;1;2;;2;1;;;;7;1;;1;1;1;1;;2;;;;;;
22460-7274;;4;;;;1;;9;1;1;;8;8;1;;;;3;;3;;;;;;;;;;3;;;1;;;;;;1;;;;;;;;;;;;;;;;;1;;5;1;3;;;;;;;;;1;;2;;1;;;1;1;1;;2;2;;1;;;3;;1;;;;1;1;;;;1;1;5;1;1;1;;;;;;;1;1;;;1;;;;;;;;;;;;;;1;1;;1;1;;;;;;;;;;;;;;;;
36390-5468;1;11;;;1;1;;16;;;1;;4;;2;1;5;3;;25;1;4;;;1;1;1;1;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;5;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;3;;;1;;1;1;3;2;1;1;;;1;;;;;1;;;7;;;3;3;2;;;1;;;1;;;
19850-6398;1;10;4;;;2;;22;1;;;6;7;1;2;;1;8;4;4;1;1;;1;;;;;;3;;1;1;;;1;;;1;1;;1;;;;;;3;1;1;;;;1;1;1;1;2;1;1;;;;1;;;;;;1;;;;;;1;;;;;;;;;;3;;2;1;;;;;;;1;1;1;4;;2;1;1;;;;;1;1;1;1;;;;;;;;;;;;;1;1;1;;1;1;;;;2;;;2;1;1;1;1;;;;;;;
36069-7118;;;;;;1;;2;;;;1;1;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
31791-6389;1;11;;;;;;18;1;1;;8;8;;;;;2;;16;1;1;;;1;1;1;1;1;;;;4;2;;1;1;1;2;1;;;;;;;;9;;3;;;;;;;;6;1;2;2;2;1;;;;;;1;;5;1;;1;;1;1;;;;2;2;;;;3;2;2;1;;;;;;1;;;1;6;1;3;2;1;;;;;;;;;1;;;;;;;;;;;;1;;;2;2;;3;3;1;7;;2;3;2;;;;1;;1;;;;
35759-5468;10;40;12;;3;1;;44;2;;1;;7;1;3;2;23;4;;23;10;2;;7;3;3;3;1;1;3;;4;4;;;;;;;;2;8;1;;3;;;12;2;;;;;2;1;1;9;1;1;;;;;;;1;;;;;9;1;;2;1;2;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;1;1;;1;;1;1;8;3;1;1;1;;2;1;;1;;;;;2;;;1;1;;7;6;5;;;;;;
34572-5388;1;9;4;4;2;4;1;27;;;;5;6;;1;1;4;5;3;12;1;2;2;1;;;;;;;;1;6;2;1;;;;;;1;3;;2;;3;2;4;;2;;;;4;3;1;2;5;1;4;;;;;;;;;;1;6;;;;;;;;;;2;;1;;;;;;;;;;3;3;;;;1;5;2;;;;;3;3;;;;;;;;;;;;;;;;;1;4;1;;;;;;;;1;;;1;1;1;1;1;;;;;2;2;
28423-5469;;4;;2;1;3;;18;;;1;;1;;;;;;;12;;1;;;;;;;;1;;;;;;;;;;;;;;2;;2;2;3;1;;;;;;;3;;1;;;;;;;;;;;;;6;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
36341-5388;;;;;;;;3;;;;1;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;
13179-5388;;2;1;;;;;2;;;;;1;;;;;1;;3;;;;;;;;;;2;;;1;;;;;;1;;;1;;;;;;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;
22256-6388;;4;;;;1;;23;;4;;7;11;;;;;;;1;;1;;;;;;;;;;;2;2;;;;;;;;;;;;;;3;;2;;;;;;;;7;1;2;;;;;;;;;;;;;;;;;3;1;1;;3;1;;;;1;;;;;;;1;1;;;;2;3;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
20306-7274;1;7;1;;1;2;;13;1;;;2;3;;;;;3;;6;1;7;;;1;1;1;1;1;1;;1;;;;;;;1;;;;1;;;;;1;;;;;;;;;1;1;;;;;;;;;;;3;;1;;;1;1;;;;;;;;;;;2;;1;;;;;;;;1;1;;;;;;;;;;;;1;;;2;;;;;;;;;;;;1;;;1;;1;1;;;3;;1;1;1;1;;;1;;2;6;;;
31698-5388;2;11;;1;;1;;46;1;1;;4;11;;2;1;6;6;;13;2;;;1;2;1;1;1;;1;;;1;;;;;;2;1;1;;;1;;1;1;5;;;;;1;;;;1;5;;2;;;;1;1;;;;2;;5;1;;1;;1;1;;;;1;;;;;;;;;;;;1;1;;;;1;4;1;;;;;1;;;;1;;1;;;;;1;;;4;1;1;;1;1;;2;2;1;;;;1;2;;;;;;1;1;2;;;;;;
18047-6398;1;56;68;5;;8;4;231;1;1;;92;109;92;2;;17;16;7;46;1;10;4;;1;1;1;1;1;7;1;3;2;;;2;1;1;11;5;;23;2;4;;5;4;13;1;1;1;1;1;53;18;3;5;15;1;9;4;2;;2;;64;57;33;4;1;12;1;;5;2;1;1;;1;4;3;1;1;;;37;2;13;7;7;3;8;18;11;6;5;3;4;76;1;32;10;5;5;11;8;2;2;18;11;2;1;81;47;;2;;;4;1;1;1;;;2;9;;5;2;2;1;1;20;4;2;6;2;1;;;1;;2;1;1;4;
27916-7118;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30966-5388;2;23;14;5;;9;;55;1;2;;18;18;2;2;1;12;9;1;42;1;2;3;1;1;1;1;;;6;;3;10;1;3;1;1;;1;;1;7;5;5;;5;5;10;2;5;1;1;;9;6;7;1;7;1;6;3;3;3;;;1;1;1;5;1;21;;1;4;;1;2;2;;;5;3;1;1;1;9;2;8;7;5;2;3;6;5;2;;;3;15;1;8;7;6;4;4;4;1;;;;;;2;2;;1;1;;5;2;1;1;1;4;2;2;1;;;1;1;2;10;;;1;1;;1;;1;;;;2;3;
36153-5469;1;4;1;;3;1;;23;1;;;5;8;1;;;;1;;11;1;;;;1;1;1;1;1;;;;1;;;;;;;;;;;;;;;2;;;;;;;;1;;2;;;;;;;1;;;;1;;4;;;1;;1;;;;;;;;;;;;;;;;;1;;2;;;;4;;;;;;;;2;;;;1;;1;1;;;;;;;;;;;;;;;1;;;;4;;;;;;;;1;;;;;;
36150-7098;;2;1;;;;;3;;;;1;1;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110-7098;;9;1;;2;4;;13;1;4;1;14;14;;1;1;2;3;;3;;5;;;;;;;;2;1;1;;;;4;2;;1;;;;;;;;;4;1;;1;1;;;;1;;4;;1;1;1;1;;1;;;;2;;1;1;;;;1;4;;;3;;;;2;2;5;;4;3;1;1;;2;1;;1;3;;7;;3;2;2;1;;;;;;;1;1;;;1;;1;1;2;1;1;;;1;1;;;1;;;;;;;;;;;;;;;2;1;;;
36069-5714;1;7;;;;2;;16;1;;;1;4;;1;;;2;;17;1;;;1;;;;;;2;;;;;;;;;;;;;;;;;;5;2;;;;;;;;;1;;;;;;;;;;;;;3;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;5;;;1;;;1;1;;;;;;;
36399-5468;1;11;1;;1;2;;50;2;;;7;8;1;4;4;12;11;1;27;1;1;;1;;;;;;2;;;4;;1;;;;;;1;;1;;;;;8;1;3;;;;1;;1;5;3;1;;;;;;;1;1;1;6;;13;1;;;;2;;;;;2;;1;;;2;;;;;;;;;;;;2;4;2;;;;;;;;;;;;1;1;1;2;4;2;2;1;;;;1;4;4;5;;1;2;1;1;;1;;;;;;1;1;;;1;;;;
36520-5388;1;2;;;;;;4;;;;;;;;;;;;;1;;;;1;1;1;1;1;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
36309-7274;;1;;;;1;;7;1;;;3;5;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;3;1;2;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;1;;1;;;2;3;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;1;;;;;;;;;;;;
