aluno;1>;2>;3>;5>;6>;7>;8>;13>;14>;16>;17>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>46>;1>46>2>;1 2>;2>1>;2>1>46>;2>2>;2>14>;2>41>;2>41>41>;2>46>;2>46>1>;2 14>;2 14>41>;2 14 30>;2 14 41>;2 30>;2 31>;2 41>;6>6>;6 14>;7>5>;7>14>;7 14>;13>48>;13 14>;13 14>48>;14>2>;14>7>;14>14>;14>30>;14>31>;14>31>30>;14>41>;14>41>41>;14>41>41>41>;14>43>;14>43>44>;14>48>;14>49>;14 30>;14 30 41>;14 31>;14 31 41>;14 41>;14 41>31>;14 41>41>;14 41 43>;14 43>;14 44>;14 44>43>;14 48>;16>31>;16 31>;17>30>;17 30>;17 30>30>;30>14>;30>30>;30>30>30>;30>31>;30>41>;30>48>;30 31>;30 41>;31>14>;31>30>;31>30>30>;31>30>31>;31>31>;31>31>30>;31>41>;31>48>;31 41>;31 41>30>;32>31>;41>2>;41>14>;41>30>;41>31>;41>31>30>;41>41>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>43>;41>43>44>;41>44>;41>48>;41 43>;41 43>44>;43>43>;43>44>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43 44>;44>14>;44>14>43>;44>41>;44>43>;44>44>;44>44>14>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;46>1>;46>2>;48>14>;48>29>;48>49>;49>48>;
21361-4917;4;22;;5;1;13;;7;58;1;;2;8;28;;62;;16;19;;4;10;;1;1;2;1;;1;2;3;1;2;1;13;2;1;3;1;1;7;;1;3;2;3;;5;;1;3;4;1;6;1;7;2;2;2;1;6;;2;1;8;5;26;1;2;1;2;5;;1;;1;;;;1;2;;1;1;;;1;2;5;2;1;2;;2;3;11;;;2;3;;2;;12;;5;;2;1;;4;3;1;3;7;1;4;7;5;4;3;2;3;;3;2;7;2;5;2;4;4;2;1;;2;;;
1436-6400;3;16;8;2;;2;;;51;2;;;17;24;1;69;;21;23;1;3;3;4;3;1;1;1;1;;1;3;2;1;;5;;1;;1;2;1;;;1;;;;;;1;;2;;3;;10;3;1;4;1;;2;4;;4;1;12;1;3;;1;11;2;;1;1;;;;1;6;2;1;2;1;1;;;11;5;;6;4;2;1;8;2;;5;1;2;9;4;17;2;10;1;3;2;1;3;2;5;;10;5;2;9;5;2;2;;5;;3;2;7;3;2;2;2;1;;1;1;;;2;
18444-6895;;1;;;;;;;6;;;;2;1;;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;;;;;1;;;;3;1;1;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21169-6402;2;7;;4;1;4;1;27;46;;;2;2;4;1;12;;;;;2;33;;1;1;;1;1;1;2;;;1;1;3;;;1;;;2;;1;2;;2;15;23;15;4;2;;;1;;2;;;;;26;;;;2;;8;;1;;;;;6;;;;;;;;;1;;;;;1;;;;;;;1;;;;1;1;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;1;1;1;1;;;
22700-5489;1;5;;1;4;1;1;;12;;;;;1;;5;;1;1;;1;1;;1;;;1;1;2;;2;1;;;4;1;;;;;1;2;3;1;;1;;;;2;1;;;;;1;;;1;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;2;1;1;1;1;;;;;;1;;;;;1;1;;;;;;;;;;;;;;;
17491-6590;;;1;;;1;2;;22;3;1;;10;16;9;14;3;7;5;8;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;1;2;1;;;;1;;;;;;2;;5;;;;;;;;1;1;1;;;1;2;;;;;1;;2;8;1;;3;2;;;2;1;5;;;1;2;1;1;;;;;;;;;;;2;;;1;1;;;2;1;;1;;1;;;;;;;;;;;;
13405-5490;4;9;;2;6;3;1;1;81;4;5;1;37;41;;60;1;18;16;1;4;19;17;2;2;;2;2;2;1;1;1;;;3;;;1;;;2;1;1;1;;;;;;4;1;1;1;15;5;10;3;;6;1;;3;7;1;8;2;26;2;4;2;5;8;3;8;3;;4;5;4;3;10;2;7;2;5;3;3;2;15;4;3;4;2;;3;8;3;;1;;3;5;1;8;1;1;1;1;;;4;1;;1;5;;;1;1;1;;3;4;3;1;3;4;3;3;2;1;1;2;2;1;;7;4;
20796-4435;2;14;3;2;26;10;14;1;46;2;1;5;9;20;8;35;2;5;7;1;2;11;3;1;;;1;1;2;3;4;1;1;1;6;1;1;4;1;1;4;10;4;;4;4;;1;;3;1;4;;5;;7;5;2;1;1;2;2;5;1;3;;12;1;3;;;3;;1;1;1;;1;;1;;;;1;2;;2;2;1;;;3;;4;1;;;2;1;2;;5;;12;2;5;2;3;1;1;3;2;;1;;;;3;1;1;;;1;1;;;2;1;1;1;;;1;;1;4;;1;
18398-5384;3;15;;;2;3;1;;56;1;4;;19;18;1;44;1;12;17;1;3;5;1;1;;1;;;;4;1;;2;1;8;1;1;4;1;1;5;1;1;;1;1;;;;1;;1;2;6;2;8;1;1;2;;1;1;7;1;3;2;20;;1;2;4;7;1;1;;1;4;3;3;3;7;;3;1;2;3;2;;4;1;1;1;;;;7;;1;3;1;;;;5;;3;;3;2;2;2;;;1;2;;;3;;;;1;2;;2;2;2;1;;;;;1;;1;;1;1;
21513-6030;2;9;;2;;2;;;28;1;1;1;9;15;;24;;3;6;;2;3;;1;1;2;1;1;;2;1;;;;5;1;1;2;1;1;4;;;1;;1;;;;;;;1;4;2;5;2;;1;1;;;2;;5;3;11;1;1;;;1;;;;;;1;;1;4;1;2;;1;1;1;2;5;3;2;;;;;5;1;;;1;1;3;1;3;1;;;;;;1;;;;1;;;1;1;;;;3;1;;;2;2;1;1;;;;1;2;;;;
22525-4435;;;;;;;;;7;;;;;1;;7;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;5;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;
22787-4435;1;4;;;;1;;;22;4;4;;13;20;4;6;;2;2;;1;6;;;;;;;;;;;1;1;3;;;1;;1;1;;;;;;;;;;1;3;1;4;2;;;;1;;;;2;;5;1;2;;;;;1;;3;3;3;2;3;1;1;2;1;1;;;1;;2;4;;;3;;;;4;1;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;
22559-5384;;;1;;;1;;;12;;;2;1;2;1;6;;7;11;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;1;1;1;;;;1;;4;;;1;2;5;1;;;;;;;;1;1;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;1;1;2;1;;3;2;1;1;3;;;;1;3;;2;;1;1;;;;2;;;
15247-6400;6;39;1;;;4;1;1;90;4;;3;31;40;4;69;;17;16;;6;4;1;3;2;2;2;2;;3;4;2;5;3;18;2;3;5;3;4;9;;;;1;1;;;;8;;3;1;8;3;17;7;3;4;1;;;12;3;10;3;33;3;7;4;5;9;3;;2;3;;;;2;5;2;5;2;;1;4;5;13;5;3;4;2;2;2;9;2;1;2;4;2;12;5;18;7;7;2;5;5;5;2;1;;;5;;1;6;2;2;1;1;1;1;1;3;5;1;3;;2;2;3;2;;2;;;
18607-4917;;1;;;;;;;17;;1;;5;5;;8;;9;11;;;2;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;3;;;;;8;3;;;1;;1;1;4;2;;;1;6;2;2;;;;1;;1;;;1;;;;;;3;;1;2;;2;;2;1;;;;1;3;2;1;1;1;1;;;;;;;;;;1;5;3;2;2;;2;1;;2;4;2;3;1;3;1;;;;;;;
22423-4434;3;13;;2;1;2;;;21;;;;8;3;;18;;1;1;;4;1;;1;;1;2;;;;1;;1;;8;1;;2;;;3;;1;1;;1;;;;1;;;1;;;1;;;;;;;5;2;;;7;;;;;;;1;;;;;;;;;1;1;;;2;1;;;;;;;;;;;1;1;;2;;2;2;1;1;1;1;1;;;1;;1;1;;1;;;;;;;;1;;;;;;;1;1;;;;;
